Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/01  00:15:00,3.3,69.75,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  00:30:00,2.5,63.5,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  00:45:00,1.7,57.25,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  01:00:00,0.9,51.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  01:15:00,0.925,49.75,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  01:30:00,0.95,48.5,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  01:45:00,0.975,47.25,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  02:00:00,1.0,46.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  02:15:00,1.4,45.75,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  02:30:00,1.8,45.5,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  02:45:00,2.2,45.25,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  03:00:00,2.6,45.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  03:15:00,2.075,44.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  03:30:00,1.55,43.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  03:45:00,1.025,42.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  04:00:00,0.5,41.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  04:15:00,0.625,42.25,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  04:30:00,0.75,43.5,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  04:45:00,0.875,44.75,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  05:00:00,1.0,46.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  05:15:00,1.15,47.25,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  05:30:00,1.3,48.5,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  05:45:00,1.4500000000000002,49.75,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  06:00:00,1.6,51.0,15455613.586527816,0.0,0.0,0.0,2171926.0076279526 
 01/01  06:15:00,1.1750000000000003,49.5,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  06:30:00,0.75,48.0,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  06:45:00,0.325,46.5,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  07:00:00,-0.1,45.0,12394708.774096463,0.0,0.0,0.0,1963421.1108956694 
 01/01  07:15:00,0.8500000000000001,41.75,12343535.137561445,0.0,0.0,0.0,1912247.4743606498 
 01/01  07:30:00,1.8,38.5,12251633.066466617,0.0,0.0,0.0,1820345.4032658234 
 01/01  07:45:00,2.7500000000000006,35.25,12207072.974322133,0.0,0.0,0.0,1775785.3111213397 
 01/01  08:00:00,3.7,32.0,12190015.5292375,0.0,0.0,0.0,1758727.866036705 
 01/01  08:15:00,5.275,30.5,12190015.5292375,0.0,0.0,0.0,1758727.866036705 
 01/01  08:30:00,6.85,29.0,12190015.5292375,0.0,0.0,0.0,1758727.866036705 
 01/01  08:45:00,8.425,27.5,12190015.5292375,0.0,0.0,0.0,1758727.866036705 
 01/01  09:00:00,10.0,26.0,12149288.39595881,0.0,0.0,0.0,1718000.732758015 
 01/01  09:15:00,10.85,24.25,12138843.193983596,0.0,0.0,0.0,1707555.530782801 
 01/01  09:30:00,11.7,22.5,12138843.193983596,0.0,0.0,0.0,1707555.530782801 
 01/01  09:45:00,12.55,20.75,12138843.193983596,0.0,0.0,0.0,1707555.530782801 
