Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/01  00:15:00,3.3,69.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  00:30:00,2.5,63.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  00:45:00,1.7,57.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  01:00:00,0.9,51.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  01:15:00,0.925,49.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  01:30:00,0.95,48.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  01:45:00,0.975,47.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  02:00:00,1.0,46.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  02:15:00,1.4,45.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  02:30:00,1.8,45.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  02:45:00,2.2,45.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  03:00:00,2.6,45.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  03:15:00,2.075,44.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  03:30:00,1.55,43.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  03:45:00,1.025,42.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  04:00:00,0.5,41.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  04:15:00,0.625,42.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  04:30:00,0.75,43.5,36991180.38474241,1272325.1374677316,0.0,5501038.28870004,2412374.4105526807 
 01/01  04:45:00,0.875,44.75,37027264.49140683,1272325.1374677316,0.0,5537122.395364455,2412374.4105526807 
 01/01  05:00:00,1.0,46.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  05:15:00,1.15,47.25,37547777.34277475,1272325.1374677318,0.0,6057635.24673238,2412374.4105526807 
 01/01  05:30:00,1.3,48.5,37583692.111079569,1272325.1374677316,0.0,6093550.015037204,2412374.4105526807 
 01/01  05:45:00,1.4500000000000002,49.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  06:00:00,1.6,51.0,38138758.02273962,1272325.1374677318,0.0,6648615.926697257,2412374.4105526807 
 01/01  06:15:00,1.1750000000000003,49.5,38266612.61985795,1272325.1374677316,0.0,6776470.523815585,2412374.4105526807 
 01/01  06:30:00,0.75,48.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  06:45:00,0.325,46.5,39434229.38653897,1272325.1374677318,0.0,7944087.290496597,2412374.4105526807 
 01/01  07:00:00,-0.1,45.0,25169826.879111824,1272325.1374677316,0.0,7003284.783069453,2412374.4105526807 
 01/01  07:15:00,0.8500000000000001,41.75,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  07:30:00,1.8,38.5,22535816.267983304,1272325.1374677316,0.0,4369274.1719409399,2412374.4105526807 
 01/01  07:45:00,2.7500000000000006,35.25,21894416.575619196,1272325.1374677316,0.0,3727874.479576829,2412374.4105526807 
 01/01  08:00:00,3.7,32.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  08:15:00,5.275,30.5,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  08:30:00,6.85,29.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  08:45:00,8.425,27.5,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  09:00:00,10.0,26.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  09:15:00,10.85,24.25,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  09:30:00,11.7,22.5,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  09:45:00,12.55,20.75,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  10:00:00,13.4,19.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  10:15:00,14.100000000000002,18.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  10:30:00,14.8,17.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  10:45:00,15.499999999999999,16.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  11:00:00,16.2,15.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  11:15:00,16.625,14.25,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  11:30:00,17.049999999999998,13.5,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  11:45:00,17.474999999999999,12.75,19150031.340103024,611144.1211276883,1644670.2604006995,0.0,2412374.4105526807 
 01/01  12:00:00,17.9,12.0,26921169.322135144,2370197.1908798257,7656755.1726806829,0.0,2412374.4105526807 
 01/01  12:15:00,18.174999999999998,12.5,21954113.29142315,1147908.9486244487,3911987.3842240667,0.0,2412374.4105526807 
 01/01  12:30:00,18.45,13.0,22501519.408127864,1222288.2422553767,4385014.2072978499,0.0,2412374.4105526807 
 01/01  12:45:00,18.725,13.5,28224241.071759575,2375858.6339246539,8954165.479260285,0.0,2412374.4105526807 
 01/01  13:00:00,19.0,14.0,22580265.74035042,1147908.9486244487,4538139.83315134,0.0,2412374.4105526807 
 01/01  13:15:00,19.15,13.75,23085308.263586858,1225037.9661121786,4966053.3389000459,0.0,2412374.4105526807 
 01/01  13:30:00,19.3,13.5,29162375.060692848,2380128.9998674869,9888029.102250722,0.0,2412374.4105526807 
 01/01  13:45:00,19.450000000000004,13.25,22929790.872576354,1147908.9486244487,4887664.96537727,0.0,2412374.4105526807 
 01/01  14:00:00,19.6,13.0,23465995.462428467,1226074.6432756298,5345703.860578201,0.0,2412374.4105526807 
 01/01  14:15:00,19.450000000000004,13.5,35055367.55000567,3467302.4325562959,14693848.158874739,0.0,2412374.4105526807 
 01/01  14:30:00,19.3,14.0,29373526.554669925,2420234.0860921798,10059075.510003113,0.0,2412374.4105526807 
 01/01  14:45:00,19.15,14.5,23072856.336193105,1222288.2422553767,4956351.13536309,0.0,2412374.4105526807 
 01/01  15:00:00,19.0,15.0,22949865.049765547,1222288.242255377,4833359.848935533,0.0,2412374.4105526807 
 01/01  15:15:00,18.725,19.25,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  15:30:00,18.45,23.5,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  15:45:00,18.174999999999998,27.75,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  16:00:00,17.9,32.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  16:15:00,17.625,33.5,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  16:30:00,17.35,35.0,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  16:45:00,17.075000000000004,36.5,16894216.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  17:00:00,16.8,38.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  17:15:00,14.950000000000001,42.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  17:30:00,13.100000000000002,47.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  17:45:00,11.25,51.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  18:00:00,9.4,56.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  18:15:00,8.975000000000002,55.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  18:30:00,8.55,54.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  18:45:00,8.125,53.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  19:00:00,7.7,53.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  19:15:00,7.550000000000001,50.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  19:30:00,7.4,48.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  19:45:00,7.249999999999999,46.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
