Time,CORE_BOTTOM ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.074704E+04,0.000000E+00,1.460098E+00,0.000000E+00,9.034627E+03,0.000000E+00,6.358276E-01,0.000000E+00,1.044745E+04,0.000000E+00,7.352567E-01,0.000000E+00,1.213488E+03,0.000000E+00,8.540011E-02,0.000000E+00,7.687485E+02,0.000000E+00,5.410117E-02,0.000000E+00,1.182859E+03,0.000000E+00,8.324455E-02,0.000000E+00,9.101787E+02,0.000000E+00,6.405433E-02,0.000000E+00,2.008364E+03,0.000000E+00,1.413386E-01,0.000000E+00,1.292929E+03,0.000000E+00,9.098976E-02,0.000000E+00,1.979917E+03,0.000000E+00,1.393367E-01,0.000000E+00,1.472737E+03,0.000000E+00,1.036435E-01,4.686788E+02,2.302983E+03,1.336142E-02,1.620715E-01,4.345395E+02,1.480441E+03,1.238841E-02,1.041853E-01,4.817227E+02,2.276354E+03,1.373319E-02,1.601975E-01,3.873244E+02,1.659762E+03,1.104290E-02,1.168047E-01
00:20:00,0.000000E+00,2.088131E+04,0.000000E+00,1.469544E+00,0.000000E+00,9.170993E+03,0.000000E+00,6.454235E-01,0.000000E+00,1.057672E+04,0.000000E+00,7.443523E-01,0.000000E+00,1.226823E+03,0.000000E+00,8.633842E-02,0.000000E+00,7.771327E+02,0.000000E+00,5.469113E-02,0.000000E+00,1.196150E+03,0.000000E+00,8.417975E-02,0.000000E+00,9.161674E+02,0.000000E+00,6.447568E-02,0.000000E+00,2.029407E+03,0.000000E+00,1.428191E-01,0.000000E+00,1.305720E+03,0.000000E+00,9.188966E-02,0.000000E+00,2.001323E+03,0.000000E+00,1.408428E-01,0.000000E+00,1.482062E+03,0.000000E+00,1.042995E-01,6.112933E+02,2.321972E+03,1.742699E-02,1.634075E-01,5.100065E+02,1.491730E+03,1.453900E-02,1.049795E-01,6.277080E+02,2.295778E+03,1.789485E-02,1.615641E-01,4.718249E+02,1.667438E+03,1.345055E-02,1.173447E-01
00:30:00,0.000000E+00,2.100003E+04,0.000000E+00,1.477897E+00,0.000000E+00,9.291723E+03,0.000000E+00,6.539191E-01,0.000000E+00,1.068838E+04,0.000000E+00,7.522094E-01,0.000000E+00,1.236143E+03,0.000000E+00,8.699419E-02,0.000000E+00,7.828518E+02,0.000000E+00,5.509352E-02,0.000000E+00,1.205584E+03,0.000000E+00,8.484357E-02,0.000000E+00,9.191861E+02,0.000000E+00,6.468801E-02,0.000000E+00,2.044860E+03,0.000000E+00,1.439064E-01,0.000000E+00,1.314837E+03,0.000000E+00,9.253111E-02,0.000000E+00,2.017213E+03,0.000000E+00,1.419608E-01,0.000000E+00,1.487617E+03,0.000000E+00,1.046903E-01,7.055916E+02,2.334930E+03,2.011465E-02,1.643191E-01,5.807786E+02,1.499009E+03,1.655649E-02,1.054916E-01,7.232555E+02,2.309222E+03,2.061820E-02,1.625099E-01,5.385574E+02,1.671147E+03,1.535288E-02,1.176055E-01
00:40:00,0.000000E+00,2.110594E+04,0.000000E+00,1.485348E+00,0.000000E+00,9.399615E+03,0.000000E+00,6.615110E-01,0.000000E+00,1.078559E+04,0.000000E+00,7.590493E-01,0.000000E+00,1.242102E+03,0.000000E+00,8.741340E-02,0.000000E+00,7.863367E+02,0.000000E+00,5.533869E-02,0.000000E+00,1.211774E+03,0.000000E+00,8.527902E-02,0.000000E+00,9.197861E+02,0.000000E+00,6.473013E-02,0.000000E+00,2.055761E+03,0.000000E+00,1.446732E-01,0.000000E+00,1.320958E+03,0.000000E+00,9.296170E-02,0.000000E+00,2.028609E+03,0.000000E+00,1.427624E-01,0.000000E+00,1.490040E+03,0.000000E+00,1.048606E-01,8.041765E+02,2.342846E+03,2.292501E-02,1.648758E-01,6.417607E+02,1.503036E+03,1.829488E-02,1.057748E-01,8.235865E+02,2.317657E+03,2.347833E-02,1.631032E-01,6.019235E+02,1.671641E+03,1.715924E-02,1.176400E-01
00:50:00,0.000000E+00,2.120119E+04,0.000000E+00,1.492049E+00,0.000000E+00,9.496917E+03,0.000000E+00,6.683576E-01,0.000000E+00,1.087086E+04,0.000000E+00,7.650491E-01,0.000000E+00,1.245275E+03,0.000000E+00,8.763654E-02,0.000000E+00,7.879691E+02,0.000000E+00,5.545347E-02,0.000000E+00,1.215265E+03,0.000000E+00,8.552460E-02,0.000000E+00,9.184326E+02,0.000000E+00,6.463478E-02,0.000000E+00,2.062968E+03,0.000000E+00,1.451802E-01,0.000000E+00,1.324647E+03,0.000000E+00,9.322118E-02,0.000000E+00,2.036355E+03,0.000000E+00,1.433073E-01,0.000000E+00,1.489986E+03,0.000000E+00,1.048567E-01,8.874162E+02,2.346673E+03,2.529790E-02,1.651449E-01,6.949342E+02,1.504436E+03,1.981067E-02,1.058732E-01,9.078845E+02,2.322042E+03,2.588139E-02,1.634116E-01,6.557992E+02,1.669514E+03,1.869505E-02,1.174902E-01
01:00:00,0.000000E+00,2.128754E+04,0.000000E+00,1.498123E+00,0.000000E+00,9.585447E+03,0.000000E+00,6.745868E-01,0.000000E+00,1.094622E+04,0.000000E+00,7.703511E-01,0.000000E+00,1.246158E+03,0.000000E+00,8.769857E-02,0.000000E+00,7.880794E+02,0.000000E+00,5.546115E-02,0.000000E+00,1.216534E+03,0.000000E+00,8.561379E-02,0.000000E+00,9.155146E+02,0.000000E+00,6.442931E-02,0.000000E+00,2.067189E+03,0.000000E+00,1.454770E-01,0.000000E+00,1.326374E+03,0.000000E+00,9.334256E-02,0.000000E+00,2.041152E+03,0.000000E+00,1.436446E-01,0.000000E+00,1.487983E+03,0.000000E+00,1.047155E-01,9.613113E+02,2.347239E+03,2.740439E-02,1.651845E-01,7.425258E+02,1.503723E+03,2.116732E-02,1.058228E-01,9.829845E+02,2.323194E+03,2.802223E-02,1.634923E-01,7.038455E+02,1.665192E+03,2.006467E-02,1.171858E-01
01:10:00,0.000000E+00,2.138660E+04,0.000000E+00,1.505092E+00,0.000000E+00,9.689401E+03,0.000000E+00,6.819014E-01,0.000000E+00,1.103586E+04,0.000000E+00,7.766587E-01,0.000000E+00,1.249501E+03,0.000000E+00,8.793364E-02,0.000000E+00,7.896962E+02,0.000000E+00,5.557484E-02,0.000000E+00,1.220314E+03,0.000000E+00,8.587968E-02,0.000000E+00,9.141135E+02,0.000000E+00,6.433061E-02,0.000000E+00,2.074008E+03,0.000000E+00,1.459566E-01,0.000000E+00,1.329696E+03,0.000000E+00,9.357620E-02,0.000000E+00,2.048579E+03,0.000000E+00,1.441671E-01,0.000000E+00,1.487630E+03,0.000000E+00,1.046906E-01,1.031210E+03,2.350183E+03,2.939696E-02,1.653914E-01,7.872539E+02,1.504479E+03,2.244234E-02,1.058758E-01,1.053864E+03,2.326747E+03,3.004275E-02,1.637421E-01,7.490913E+02,1.662331E+03,2.135445E-02,1.169844E-01
01:20:00,0.000000E+00,2.148018E+04,0.000000E+00,1.511676E+00,0.000000E+00,9.788040E+03,0.000000E+00,6.888420E-01,0.000000E+00,1.111926E+04,0.000000E+00,7.825265E-01,0.000000E+00,1.251719E+03,0.000000E+00,8.808960E-02,0.000000E+00,7.905614E+02,0.000000E+00,5.563565E-02,0.000000E+00,1.223011E+03,0.000000E+00,8.606934E-02,0.000000E+00,9.119923E+02,0.000000E+00,6.418124E-02,0.000000E+00,2.079369E+03,0.000000E+00,1.463337E-01,0.000000E+00,1.332061E+03,0.000000E+00,9.374250E-02,0.000000E+00,2.054571E+03,0.000000E+00,1.445886E-01,0.000000E+00,1.486390E+03,0.000000E+00,1.046031E-01,1.095074E+03,2.351510E+03,3.121746E-02,1.654846E-01,8.279822E+02,1.504190E+03,2.360333E-02,1.058553E-01,1.118579E+03,2.328702E+03,3.188751E-02,1.638795E-01,7.903064E+02,1.658456E+03,2.252933E-02,1.167115E-01
01:30:00,0.000000E+00,2.156872E+04,0.000000E+00,1.517904E+00,0.000000E+00,9.881821E+03,0.000000E+00,6.954408E-01,0.000000E+00,1.119704E+04,0.000000E+00,7.879991E-01,0.000000E+00,1.253057E+03,0.000000E+00,8.818365E-02,0.000000E+00,7.908412E+02,0.000000E+00,5.565526E-02,0.000000E+00,1.224861E+03,0.000000E+00,8.619941E-02,0.000000E+00,9.093366E+02,0.000000E+00,6.399425E-02,0.000000E+00,2.083591E+03,0.000000E+00,1.466306E-01,0.000000E+00,1.333684E+03,0.000000E+00,9.385658E-02,0.000000E+00,2.059443E+03,0.000000E+00,1.449313E-01,0.000000E+00,1.484489E+03,0.000000E+00,1.044692E-01,1.153819E+03,2.351581E+03,3.289205E-02,1.654893E-01,8.653377E+02,1.503095E+03,2.466818E-02,1.057782E-01,1.178157E+03,2.329419E+03,3.358585E-02,1.639297E-01,8.280927E+02,1.653832E+03,2.360646E-02,1.163860E-01
01:40:00,0.000000E+00,2.165290E+04,0.000000E+00,1.523827E+00,0.000000E+00,9.971437E+03,0.000000E+00,7.017466E-01,0.000000E+00,1.127002E+04,0.000000E+00,7.931341E-01,0.000000E+00,1.253757E+03,0.000000E+00,8.823279E-02,0.000000E+00,7.906980E+02,0.000000E+00,5.564511E-02,0.000000E+00,1.226099E+03,0.000000E+00,8.628640E-02,0.000000E+00,9.063228E+02,0.000000E+00,6.378208E-02,0.000000E+00,2.086988E+03,0.000000E+00,1.468695E-01,0.000000E+00,1.334775E+03,0.000000E+00,9.393324E-02,0.000000E+00,2.063506E+03,0.000000E+00,1.452170E-01,0.000000E+00,1.482147E+03,0.000000E+00,1.043043E-01,1.208175E+03,2.350740E+03,3.444154E-02,1.654300E-01,8.998405E+02,1.501423E+03,2.565170E-02,1.056604E-01,1.233445E+03,2.329240E+03,3.516191E-02,1.639170E-01,8.629726E+02,1.648704E+03,2.460073E-02,1.160250E-01
