,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Electricity:Facility [J](TimeStep)
2017-01-01 00:00:00,6.7,15455613.586527815
2017-01-01 00:15:00,6.7,15455613.586527815
2017-01-01 00:30:00,6.7,15455613.586527815
2017-01-01 00:45:00,6.7,15455613.586527815
2017-01-01 01:00:00,6.9750000000000005,15455613.586527815
2017-01-01 01:15:00,7.25,15455613.586527815
2017-01-01 01:30:00,7.5249999999999995,15455613.586527815
2017-01-01 01:45:00,7.8,15455613.586527815
2017-01-01 02:00:00,8.5,15455613.586527815
2017-01-01 02:15:00,9.2,15455613.586527815
2017-01-01 02:30:00,9.899999999999999,15455613.586527815
2017-01-01 02:45:00,10.6,15455613.586527815
2017-01-01 03:00:00,9.475,15455613.586527815
2017-01-01 03:15:00,8.35,15455613.586527815
2017-01-01 03:30:00,7.225,15455613.586527815
2017-01-01 03:45:00,6.1,15455613.586527815
2017-01-01 04:00:00,6.374999999999999,15455613.586527815
2017-01-01 04:15:00,6.65,15455613.586527815
2017-01-01 04:30:00,6.925000000000001,15455613.586527815
2017-01-01 04:45:00,7.2,15455613.586527815
2017-01-01 05:00:00,7.2,15455613.586527815
2017-01-01 05:15:00,7.2,15455613.586527815
2017-01-01 05:30:00,7.2,15455613.586527815
2017-01-01 05:45:00,7.2,15455613.586527815
2017-01-01 06:00:00,6.925000000000001,19524058.774096467
2017-01-01 06:15:00,6.65,19524058.774096467
2017-01-01 06:30:00,6.374999999999999,19524058.774096467
2017-01-01 06:45:00,6.1,19524058.774096467
2017-01-01 07:00:00,5.824999999999999,12394708.774096463
2017-01-01 07:15:00,5.55,12394708.774096463
2017-01-01 07:30:00,5.275,12394708.774096463
2017-01-01 07:45:00,5.0,12241189.16577252
2017-01-01 08:00:00,5.7,12190015.5292375
2017-01-01 08:15:00,6.4,12138843.193983596
2017-01-01 08:30:00,7.1,12138843.193983596
2017-01-01 08:45:00,7.8,12087670.85872969
2017-01-01 09:00:00,8.35,13010739.448030446
2017-01-01 09:15:00,8.9,15661545.525884932
2017-01-01 09:30:00,9.45,13425716.740297046
2017-01-01 09:45:00,10.0,15753223.305837026
2017-01-01 10:00:00,10.7,17549095.516361747
2017-01-01 10:15:00,11.4,13962037.282169286
2017-01-01 10:30:00,12.100000000000001,16181341.712357135
2017-01-01 10:45:00,12.8,19920376.745529134
2017-01-01 11:00:00,13.200000000000001,14308304.934795503
2017-01-01 11:15:00,13.600000000000001,19413702.458817393
2017-01-01 11:30:00,14.0,23810720.923047695
2017-01-01 11:45:00,14.4,16720472.373132553
2017-01-01 12:00:00,14.55,15934638.183646187
2017-01-01 12:15:00,14.7,16432684.32913666
2017-01-01 12:30:00,14.85,13483807.156291254
2017-01-01 12:45:00,15.0,17083456.605139207
2017-01-01 13:00:00,15.15,18087956.549638055
2017-01-01 13:15:00,15.3,13935115.100128332
2017-01-01 13:30:00,15.45,17946685.052301362
2017-01-01 13:45:00,15.6,19638203.92506161
2017-01-01 14:00:00,15.725,14334244.131367592
2017-01-01 14:15:00,15.850000000000001,18463142.87584016
2017-01-01 14:30:00,15.975000000000001,20271745.639651682
2017-01-01 14:45:00,16.1,14580029.78047889
2017-01-01 15:00:00,15.975000000000001,17965399.900398705
2017-01-01 15:15:00,15.850000000000001,18922053.661974598
2017-01-01 15:30:00,15.725,14149130.553399934
2017-01-01 15:45:00,15.6,16199605.036823038
2017-01-01 16:00:00,15.299999999999999,17019871.371356502
2017-01-01 16:15:00,15.0,13503381.22433151
2017-01-01 16:30:00,14.700000000000001,14870563.833771113
2017-01-01 16:45:00,14.4,14921736.169025017
2017-01-01 17:00:00,14.0,19524058.774096467
2017-01-01 17:15:00,13.600000000000001,19524058.774096467
2017-01-01 17:30:00,13.200000000000001,19524058.774096467
2017-01-01 17:45:00,12.8,19524058.774096467
2017-01-01 18:00:00,12.375000000000002,17921514.586527817
2017-01-01 18:15:00,11.95,17921514.586527817
2017-01-01 18:30:00,11.524999999999999,17921514.586527817
2017-01-01 18:45:00,11.1,17921514.586527817
2017-01-01 19:00:00,10.674999999999999,17921514.586527817
2017-01-01 19:15:00,10.25,17921514.586527817
2017-01-01 19:30:00,9.825000000000001,17921514.586527817
2017-01-01 19:45:00,9.4,17921514.586527817
2017-01-01 20:00:00,9.125,17921514.586527817
2017-01-01 20:15:00,8.850000000000001,17921514.586527817
2017-01-01 20:30:00,8.575000000000001,17921514.586527817
2017-01-01 20:45:00,8.3,17921514.586527817
2017-01-01 21:00:00,8.575000000000001,17921514.586527817
2017-01-01 21:15:00,8.850000000000001,17921514.586527817
2017-01-01 21:30:00,9.125,17921514.586527817
2017-01-01 21:45:00,9.4,17921514.586527817
2017-01-01 22:00:00,8.850000000000001,17921514.586527817
2017-01-01 22:15:00,8.3,17921514.586527817
2017-01-01 22:30:00,7.75,17921514.586527817
2017-01-01 22:45:00,7.2,17921514.586527817
2017-01-01 23:00:00,7.075,17921514.586527817
2017-01-01 23:15:00,6.95,17921514.586527817
2017-01-01 23:30:00,6.825,17921514.586527817
2017-01-01 23:45:00,6.7,17921514.586527817
2017-01-02 00:00:00,6.0,18329026.446161114
2017-01-02 00:15:00,5.3,18329026.446161114
2017-01-02 00:30:00,4.6,18329026.446161114
2017-01-02 00:45:00,3.9,18329026.446161114
2017-01-02 01:00:00,3.9,18329026.446161114
2017-01-02 01:15:00,3.9,18329026.446161114
2017-01-02 01:30:00,3.9,18329026.446161114
2017-01-02 01:45:00,3.9,18329026.446161114
2017-01-02 02:00:00,3.4749999999999996,18329026.446161114
2017-01-02 02:15:00,3.05,18329026.446161114
2017-01-02 02:30:00,2.625,18329026.446161114
2017-01-02 02:45:00,2.2,18329026.446161114
2017-01-02 03:00:00,2.35,18329026.446161114
2017-01-02 03:15:00,2.5,18329026.446161114
2017-01-02 03:30:00,2.6499999999999995,18329026.446161114
2017-01-02 03:45:00,2.8,18329026.446161114
2017-01-02 04:00:00,3.0749999999999997,18329026.446161114
2017-01-02 04:15:00,3.3499999999999996,18329026.446161114
2017-01-02 04:30:00,3.625,18329026.446161114
2017-01-02 04:45:00,3.9,18329026.446161114
2017-01-02 05:00:00,2.775,20500952.453789067
2017-01-02 05:15:00,1.65,20500952.453789067
2017-01-02 05:30:00,0.525,20500952.453789067
2017-01-02 05:45:00,-0.6,20500952.453789067
2017-01-02 06:00:00,-0.29999999999999993,28772908.278394144
2017-01-02 06:15:00,0.0,28772908.278394144
2017-01-02 06:30:00,0.29999999999999993,28772908.278394144
2017-01-02 06:45:00,0.6,28772908.278394144
2017-01-02 07:00:00,1.275,44460976.2376208
2017-01-02 07:15:00,1.95,44479979.82440441
2017-01-02 07:30:00,2.6249999999999996,42351637.586083665
2017-01-02 07:45:00,3.3,39755977.242831364
2017-01-02 08:00:00,3.5749999999999997,87417282.87594597
2017-01-02 08:15:00,3.85,86928343.15721561
2017-01-02 08:30:00,4.125,87358091.98616694
2017-01-02 08:45:00,4.4,87961985.76817372
2017-01-02 09:00:00,5.95,79919644.14948788
2017-01-02 09:15:00,7.5,80060677.71740134
2017-01-02 09:30:00,9.049999999999999,80495164.34406403
2017-01-02 09:45:00,10.6,80911523.46928683
2017-01-02 10:00:00,11.149999999999999,78592919.81509386
2017-01-02 10:15:00,11.7,78290776.416896
2017-01-02 10:30:00,12.250000000000002,78441406.28042483
2017-01-02 10:45:00,12.8,80042643.68717457
2017-01-02 11:00:00,13.350000000000001,84876273.80698173
2017-01-02 11:15:00,13.9,86783248.49073513
2017-01-02 11:30:00,14.45,88564323.53817308
2017-01-02 11:45:00,15.0,90256150.84878032
2017-01-02 12:00:00,15.425,80090867.35881895
2017-01-02 12:15:00,15.85,81455354.50414681
2017-01-02 12:30:00,16.275,82751447.71747221
2017-01-02 12:45:00,16.7,83985337.8922124
2017-01-02 13:00:00,16.7,85295878.76802422
2017-01-02 13:15:00,16.7,85460140.82216115
2017-01-02 13:30:00,16.7,85512945.71736601
2017-01-02 13:45:00,16.7,85548267.3176181
2017-01-02 14:00:00,16.974999999999998,82966496.51018363
2017-01-02 14:15:00,17.25,83520131.8144999
2017-01-02 14:30:00,17.525000000000002,84610703.10614727
2017-01-02 14:45:00,17.8,85172175.19518565
2017-01-02 15:00:00,17.8,84874078.38686284
2017-01-02 15:15:00,17.8,84748601.6701555
2017-01-02 15:30:00,17.8,85058032.06398077
2017-01-02 15:45:00,17.8,84644345.04257423
2017-01-02 16:00:00,17.525000000000002,86358043.22572626
2017-01-02 16:15:00,17.25,85611585.68134053
2017-01-02 16:30:00,16.974999999999998,86827509.68299915
2017-01-02 16:45:00,16.7,87717250.42363006
2017-01-02 17:00:00,15.999999999999998,68652590.22858727
2017-01-02 17:15:00,15.3,66956050.96303698
2017-01-02 17:30:00,14.600000000000001,65993526.307622254
2017-01-02 17:45:00,13.9,65993526.307622254
2017-01-02 18:00:00,13.75,49940045.968799226
2017-01-02 18:15:00,13.600000000000001,49427495.008356564
2017-01-02 18:30:00,13.450000000000001,50473002.15756806
2017-01-02 18:45:00,13.3,50716642.13047381
2017-01-02 19:00:00,12.900000000000002,49135076.1400833
2017-01-02 19:15:00,12.5,49822959.209029816
2017-01-02 19:30:00,12.099999999999998,50443984.7738061
2017-01-02 19:45:00,11.7,51020506.52786502
2017-01-02 20:00:00,11.549999999999999,47751387.47939834
2017-01-02 20:15:00,11.399999999999999,48322686.95056193
2017-01-02 20:30:00,11.25,48954318.0812279
2017-01-02 20:45:00,11.1,49640121.20718258
2017-01-02 21:00:00,11.1,48845820.25755163
2017-01-02 21:15:00,11.1,49200126.892007135
2017-01-02 21:30:00,11.1,49529393.73096617
2017-01-02 21:45:00,11.1,49856786.02648426
2017-01-02 22:00:00,9.725,24963854.69814057
2017-01-02 22:15:00,8.35,24963854.69814057
2017-01-02 22:30:00,6.975,24963854.69814057
2017-01-02 22:45:00,5.6,24963854.69814057
2017-01-02 23:00:00,5.725,23000433.587244898
2017-01-02 23:15:00,5.85,23000433.587244898
2017-01-02 23:30:00,5.975,23000433.587244898
2017-01-02 23:45:00,6.1,23000433.587244898
2017-01-03 00:00:00,5.975,18329026.446161114
2017-01-03 00:15:00,5.85,18329026.446161114
2017-01-03 00:30:00,5.725,18329026.446161114
2017-01-03 00:45:00,5.6,18329026.446161114
2017-01-03 01:00:00,5.0249999999999995,18329026.446161114
2017-01-03 01:15:00,4.449999999999999,18329026.446161114
2017-01-03 01:30:00,3.8749999999999996,18329026.446161114
2017-01-03 01:45:00,3.3,18329026.446161114
2017-01-03 02:00:00,3.175,18329026.446161114
2017-01-03 02:15:00,3.05,18329026.446161114
2017-01-03 02:30:00,2.925,18329026.446161114
2017-01-03 02:45:00,2.8,18329026.446161114
2017-01-03 03:00:00,2.6499999999999995,18329026.446161114
2017-01-03 03:15:00,2.5,18329026.446161114
2017-01-03 03:30:00,2.35,18329026.446161114
2017-01-03 03:45:00,2.2,18329026.446161114
2017-01-03 04:00:00,1.9250000000000003,18329026.446161114
2017-01-03 04:15:00,1.6500000000000001,18329026.446161114
2017-01-03 04:30:00,1.375,18329026.446161114
2017-01-03 04:45:00,1.1,18329026.446161114
2017-01-03 05:00:00,1.25,20500952.453789067
2017-01-03 05:15:00,1.4,20500952.453789067
2017-01-03 05:30:00,1.5499999999999998,20500952.453789067
2017-01-03 05:45:00,1.7,20500952.453789067
2017-01-03 06:00:00,1.275,28772908.278394144
2017-01-03 06:15:00,0.85,28772908.278394144
2017-01-03 06:30:00,0.425,28772908.278394144
2017-01-03 06:45:00,0.0,28772908.278394144
2017-01-03 07:00:00,1.1,44120274.01733493
2017-01-03 07:15:00,2.2,43774076.12568448
2017-01-03 07:30:00,3.3000000000000003,41504802.77134496
2017-01-03 07:45:00,4.4,38699614.25007896
2017-01-03 08:00:00,5.525,87987371.78968602
2017-01-03 08:15:00,6.65,87446112.49467461
2017-01-03 08:30:00,7.775,87816227.01708947
2017-01-03 08:45:00,8.9,88575215.44008861
2017-01-03 09:00:00,9.600000000000001,80610656.83371289
2017-01-03 09:15:00,10.3,80840997.56776579
2017-01-03 09:30:00,10.999999999999998,81440232.27989581
2017-01-03 09:45:00,11.7,81520162.48155236
2017-01-03 10:00:00,12.524999999999999,78926751.94179128
2017-01-03 10:15:00,13.35,79573877.54913318
2017-01-03 10:30:00,14.175,83726161.25623274
2017-01-03 10:45:00,15.0,87096032.2722214
2017-01-03 11:00:00,15.425,90803354.55074605
2017-01-03 11:15:00,15.85,91894551.29381852
2017-01-03 11:30:00,16.275,92841699.07836412
2017-01-03 11:45:00,16.7,93727278.46735784
2017-01-03 12:00:00,17.25,84084177.5117259
2017-01-03 12:15:00,17.799999999999997,85504463.21110965
2017-01-03 12:30:00,18.349999999999998,86904131.17669412
2017-01-03 12:45:00,18.9,88119911.78244412
2017-01-03 13:00:00,19.174999999999997,90408895.20161262
2017-01-03 13:15:00,19.45,91130401.54148398
2017-01-03 13:30:00,19.725,91666468.94628483
2017-01-03 13:45:00,20.0,92056313.9635603
2017-01-03 14:00:00,20.15,88764036.96388263
2017-01-03 14:15:00,20.3,88698036.42483659
2017-01-03 14:30:00,20.450000000000003,88385819.42414711
2017-01-03 14:45:00,20.6,87936058.84993349
2017-01-03 15:00:00,20.450000000000003,87051848.92880651
2017-01-03 15:15:00,20.3,86241519.71706465
2017-01-03 15:30:00,20.15,86639729.95379046
2017-01-03 15:45:00,20.0,86282078.63386177
2017-01-03 16:00:00,20.15,90075319.74321657
2017-01-03 16:15:00,20.3,90329768.97856842
2017-01-03 16:30:00,20.450000000000003,92424797.83159946
2017-01-03 16:45:00,20.6,93597058.19803134
2017-01-03 17:00:00,20.3,76175761.56192113
2017-01-03 17:15:00,20.0,75656993.25192107
2017-01-03 17:30:00,19.7,75132938.43072903
2017-01-03 17:45:00,19.4,74603519.49812478
2017-01-03 18:00:00,19.125,52594827.33493937
2017-01-03 18:15:00,18.85,51005081.15974968
2017-01-03 18:30:00,18.575000000000003,51321617.31526271
2017-01-03 18:45:00,18.3,51428713.45641826
2017-01-03 19:00:00,17.475,48622940.75573153
2017-01-03 19:15:00,16.65,48098862.66345989
2017-01-03 19:30:00,15.825,47369530.64569144
2017-01-03 19:45:00,15.0,45923578.29864832
2017-01-03 20:00:00,14.85,42995811.29404108
2017-01-03 20:15:00,14.7,43534494.757493675
2017-01-03 20:30:00,14.55,43986719.845767654
2017-01-03 20:45:00,14.4,44402848.75673867
2017-01-03 21:00:00,14.0,43697353.91984982
2017-01-03 21:15:00,13.600000000000001,44147977.95968244
2017-01-03 21:30:00,13.200000000000001,44753032.2511969
2017-01-03 21:45:00,12.8,45483567.41284501
2017-01-03 22:00:00,12.250000000000002,24963854.69814057
2017-01-03 22:15:00,11.7,24963854.69814057
2017-01-03 22:30:00,11.149999999999999,24963854.69814057
2017-01-03 22:45:00,10.6,24963854.69814057
2017-01-03 23:00:00,11.0,23000433.587244898
2017-01-03 23:15:00,11.399999999999999,23000433.587244898
2017-01-03 23:30:00,11.799999999999999,23000433.587244898
2017-01-03 23:45:00,12.2,23000433.587244898
2017-01-04 00:00:00,11.649999999999999,18329026.446161114
2017-01-04 00:15:00,11.1,18329026.446161114
2017-01-04 00:30:00,10.55,18329026.446161114
2017-01-04 00:45:00,10.0,18329026.446161114
2017-01-04 01:00:00,10.0,18329026.446161114
2017-01-04 01:15:00,10.0,18329026.446161114
2017-01-04 01:30:00,10.0,18329026.446161114
2017-01-04 01:45:00,10.0,18329026.446161114
2017-01-04 02:00:00,10.0,18329026.446161114
2017-01-04 02:15:00,10.0,18329026.446161114
2017-01-04 02:30:00,10.0,18329026.446161114
2017-01-04 02:45:00,10.0,18329026.446161114
2017-01-04 03:00:00,9.85,18329026.446161114
2017-01-04 03:15:00,9.7,18329026.446161114
2017-01-04 03:30:00,9.55,18329026.446161114
2017-01-04 03:45:00,9.4,18329026.446161114
2017-01-04 04:00:00,9.275,18329026.446161114
2017-01-04 04:15:00,9.15,18329026.446161114
2017-01-04 04:30:00,9.025,18329026.446161114
2017-01-04 04:45:00,8.9,18329026.446161114
2017-01-04 05:00:00,8.625,20500952.453789067
2017-01-04 05:15:00,8.35,20500952.453789067
2017-01-04 05:30:00,8.075,20500952.453789067
2017-01-04 05:45:00,7.8,20500952.453789067
2017-01-04 06:00:00,7.8,28772908.278394144
2017-01-04 06:15:00,7.8,28772908.278394144
2017-01-04 06:30:00,7.8,28772908.278394144
2017-01-04 06:45:00,7.8,28772908.278394144
2017-01-04 07:00:00,7.8,39679349.19797681
2017-01-04 07:15:00,7.8,39679349.19797681
2017-01-04 07:30:00,7.8,38985913.437119074
2017-01-04 07:45:00,7.8,38451189.728823036
2017-01-04 08:00:00,8.075,88258058.47467451
2017-01-04 08:15:00,8.35,88438365.42063023
2017-01-04 08:30:00,8.625,89877755.43433987
2017-01-04 08:45:00,8.9,91420284.01186539
2017-01-04 09:00:00,9.025,83400818.41389881
2017-01-04 09:15:00,9.15,83447890.31739868
2017-01-04 09:30:00,9.275,82196943.66037555
2017-01-04 09:45:00,9.4,81275822.00623442
2017-01-04 10:00:00,9.700000000000001,78847800.99566902
2017-01-04 10:15:00,10.0,78723967.40430556
2017-01-04 10:30:00,10.299999999999999,78620362.68206662
2017-01-04 10:45:00,10.6,78623084.17826298
2017-01-04 11:00:00,10.6,80574132.3444609
2017-01-04 11:15:00,10.6,80624655.78155273
2017-01-04 11:30:00,10.6,80664201.30733232
2017-01-04 11:45:00,10.6,80703349.41275449
2017-01-04 12:00:00,10.875,78979555.36559665
2017-01-04 12:15:00,11.149999999999999,79135707.01445353
2017-01-04 12:30:00,11.424999999999999,79297389.0195034
2017-01-04 12:45:00,11.7,79388094.74468818
2017-01-04 13:00:00,11.7,80351983.52997135
2017-01-04 13:15:00,11.7,80423877.99976392
2017-01-04 13:30:00,11.7,80414823.87625867
2017-01-04 13:45:00,11.7,80391843.55135238
2017-01-04 14:00:00,11.825,77116387.58187033
2017-01-04 14:15:00,11.95,77027544.95335282
2017-01-04 14:30:00,12.075,77196155.32051243
2017-01-04 14:45:00,12.2,77654025.6293528
2017-01-04 15:00:00,12.2,77495420.8289371
2017-01-04 15:15:00,12.2,77341084.98467597
2017-01-04 15:30:00,12.2,77755891.21835385
2017-01-04 15:45:00,12.2,77761888.42373683
2017-01-04 16:00:00,12.075,80227546.80294785
2017-01-04 16:15:00,11.95,80143797.07405888
2017-01-04 16:30:00,11.825,81980163.1320693
2017-01-04 16:45:00,11.7,82901265.16663958
2017-01-04 17:00:00,11.274999999999999,65993526.307622254
2017-01-04 17:15:00,10.85,65993526.307622254
2017-01-04 17:30:00,10.425,65993526.307622254
2017-01-04 17:45:00,10.0,65993526.307622254
2017-01-04 18:00:00,9.725,50482392.42605492
2017-01-04 18:15:00,9.45,48511206.06036132
2017-01-04 18:30:00,9.175,50085896.84088392
2017-01-04 18:45:00,8.9,50145614.34922458
2017-01-04 19:00:00,8.475000000000001,48567892.34321185
2017-01-04 19:15:00,8.05,49441906.233608656
2017-01-04 19:30:00,7.625,50262865.37934935
2017-01-04 19:45:00,7.2,51096235.22587088
2017-01-04 20:00:00,6.925000000000001,48113818.78707723
2017-01-04 20:15:00,6.65,48890153.760386534
2017-01-04 20:30:00,6.374999999999999,49535365.442646734
2017-01-04 20:45:00,6.1,50444233.18822659
2017-01-04 21:00:00,5.674999999999999,50022415.7310792
2017-01-04 21:15:00,5.25,50787116.66551123
2017-01-04 21:30:00,4.825,51557538.52721323
2017-01-04 21:45:00,4.4,52191056.03923277
2017-01-04 22:00:00,4.550000000000001,24963854.69814057
2017-01-04 22:15:00,4.7,24963854.69814057
2017-01-04 22:30:00,4.85,24963854.69814057
2017-01-04 22:45:00,5.0,24963854.69814057
2017-01-04 23:00:00,4.3,23000433.587244898
2017-01-04 23:15:00,3.6,23000433.587244898
2017-01-04 23:30:00,2.9000000000000004,23000433.587244898
2017-01-04 23:45:00,2.2,23000433.587244898
2017-01-05 00:00:00,1.5000000000000002,18329026.446161114
2017-01-05 00:15:00,0.8,18329026.446161114
2017-01-05 00:30:00,0.10000000000000009,18329026.446161114
2017-01-05 00:45:00,-0.6,18329026.446161114
2017-01-05 01:00:00,-0.6,18329026.446161114
2017-01-05 01:15:00,-0.6,18329026.446161114
2017-01-05 01:30:00,-0.6,18329026.446161114
2017-01-05 01:45:00,-0.6,18329026.446161114
2017-01-05 02:00:00,-0.725,18329026.446161114
2017-01-05 02:15:00,-0.8500000000000001,18329026.446161114
2017-01-05 02:30:00,-0.9750000000000001,18329026.446161114
