,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Electricity:Facility [J](TimeStep)
2017-01-01 00:00:00,6.7,15455613.586527815
2017-01-01 00:15:00,6.7,15455613.586527815
2017-01-01 00:30:00,6.7,15455613.586527815
2017-01-01 00:45:00,6.7,15455613.586527815
2017-01-01 01:00:00,6.9750000000000005,15455613.586527815
2017-01-01 01:15:00,7.25,15455613.586527815
2017-01-01 01:30:00,7.5249999999999995,15455613.586527815
2017-01-01 01:45:00,7.8,15455613.586527815
2017-01-01 02:00:00,8.5,15455613.586527815
2017-01-01 02:15:00,9.2,15455613.586527815
2017-01-01 02:30:00,9.899999999999999,15455613.586527815
2017-01-01 02:45:00,10.6,15455613.586527815
2017-01-01 03:00:00,9.475,15455613.586527815
2017-01-01 03:15:00,8.35,15455613.586527815
2017-01-01 03:30:00,7.225,15455613.586527815
2017-01-01 03:45:00,6.1,15455613.586527815
2017-01-01 04:00:00,6.374999999999999,15455613.586527815
2017-01-01 04:15:00,6.65,15455613.586527815
2017-01-01 04:30:00,6.925000000000001,15455613.586527815
2017-01-01 04:45:00,7.2,15455613.586527815
2017-01-01 05:00:00,7.2,15455613.586527815
2017-01-01 05:15:00,7.2,15455613.586527815
2017-01-01 05:30:00,7.2,15455613.586527815
2017-01-01 05:45:00,7.2,15455613.586527815
2017-01-01 06:00:00,6.925000000000001,19524058.774096467
2017-01-01 06:15:00,6.65,19524058.774096467
2017-01-01 06:30:00,6.374999999999999,19524058.774096467
2017-01-01 06:45:00,6.1,19524058.774096467
2017-01-01 07:00:00,5.824999999999999,12394708.774096463
2017-01-01 07:15:00,5.55,12394708.774096463
2017-01-01 07:30:00,5.275,12394708.774096463
2017-01-01 07:45:00,5.0,12241189.16577252
2017-01-01 08:00:00,5.7,12190015.5292375
2017-01-01 08:15:00,6.4,12138843.193983596
2017-01-01 08:30:00,7.1,12138843.193983596
2017-01-01 08:45:00,7.8,12087670.85872969
2017-01-01 09:00:00,8.35,12087670.85872969
2017-01-01 09:15:00,8.9,13228422.3609296
2017-01-01 09:30:00,9.45,15012469.702826217
2017-01-01 09:45:00,10.0,13356367.4069235
2017-01-01 10:00:00,10.7,15343349.149577081
2017-01-01 10:15:00,11.4,17143098.19645063
2017-01-01 10:30:00,12.100000000000001,13706600.144080937
2017-01-01 10:45:00,12.8,16523245.186611759
2017-01-01 11:00:00,13.200000000000001,18487422.13440172
2017-01-01 11:15:00,13.600000000000001,14022087.512933664
2017-01-01 11:30:00,14.0,18611984.32812743
2017-01-01 11:45:00,14.4,22966195.451432765
2017-01-01 12:00:00,14.55,14517964.638126802
2017-01-01 12:15:00,14.7,20264289.190852262
2017-01-01 12:30:00,14.85,24487935.83643707
2017-01-01 12:45:00,15.0,15167172.15450295
2017-01-01 13:00:00,15.15,20841243.300465472
2017-01-01 13:15:00,15.3,25843965.283825047
2017-01-01 13:30:00,15.45,15691449.817125464
2017-01-01 13:45:00,15.6,21397388.48812348
2017-01-01 14:00:00,15.725,26449542.13794375
2017-01-01 14:15:00,15.850000000000001,15698328.011091327
2017-01-01 14:30:00,15.975000000000001,20729874.270338736
2017-01-01 14:45:00,16.1,24549036.9718328
2017-01-01 15:00:00,15.975000000000001,15333531.478332778
2017-01-01 15:15:00,15.850000000000001,19963396.9398072
2017-01-01 15:30:00,15.725,21184808.927946836
2017-01-01 15:45:00,15.6,14381007.591272246
2017-01-01 16:00:00,15.299999999999999,17169360.93167373
2017-01-01 16:15:00,15.0,16558354.439635107
2017-01-01 16:30:00,14.700000000000001,13585889.16551161
2017-01-01 16:45:00,14.4,15398639.09346594
2017-01-01 17:00:00,14.0,22070922.89835418
2017-01-01 17:15:00,13.600000000000001,19524058.774096467
2017-01-01 17:30:00,13.200000000000001,19524058.774096467
2017-01-01 17:45:00,12.8,19524058.774096467
2017-01-01 18:00:00,12.375000000000002,17921514.586527817
2017-01-01 18:15:00,11.95,17921514.586527817
2017-01-01 18:30:00,11.524999999999999,17921514.586527817
2017-01-01 18:45:00,11.1,17921514.586527817
2017-01-01 19:00:00,10.674999999999999,17921514.586527817
2017-01-01 19:15:00,10.25,17921514.586527817
2017-01-01 19:30:00,9.825000000000001,17921514.586527817
2017-01-01 19:45:00,9.4,17921514.586527817
2017-01-01 20:00:00,9.125,17921514.586527817
2017-01-01 20:15:00,8.850000000000001,17921514.586527817
2017-01-01 20:30:00,8.575000000000001,17921514.586527817
2017-01-01 20:45:00,8.3,17921514.586527817
2017-01-01 21:00:00,8.575000000000001,17921514.586527817
2017-01-01 21:15:00,8.850000000000001,17921514.586527817
2017-01-01 21:30:00,9.125,17921514.586527817
2017-01-01 21:45:00,9.4,17921514.586527817
2017-01-01 22:00:00,8.850000000000001,17921514.586527817
2017-01-01 22:15:00,8.3,17921514.586527817
2017-01-01 22:30:00,7.75,17921514.586527817
2017-01-01 22:45:00,7.2,17921514.586527817
2017-01-01 23:00:00,7.075,17921514.586527817
2017-01-01 23:15:00,6.95,17921514.586527817
2017-01-01 23:30:00,6.825,17921514.586527817
2017-01-01 23:45:00,6.7,17921514.586527817
2017-01-02 00:00:00,6.0,18329026.446161114
2017-01-02 00:15:00,5.3,18329026.446161114
2017-01-02 00:30:00,4.6,18329026.446161114
2017-01-02 00:45:00,3.9,18329026.446161114
2017-01-02 01:00:00,3.9,18329026.446161114
2017-01-02 01:15:00,3.9,18329026.446161114
2017-01-02 01:30:00,3.9,18329026.446161114
2017-01-02 01:45:00,3.9,18329026.446161114
2017-01-02 02:00:00,3.4749999999999996,18329026.446161114
2017-01-02 02:15:00,3.05,18329026.446161114
2017-01-02 02:30:00,2.625,18329026.446161114
2017-01-02 02:45:00,2.2,18329026.446161114
2017-01-02 03:00:00,2.35,18329026.446161114
2017-01-02 03:15:00,2.5,18329026.446161114
2017-01-02 03:30:00,2.6499999999999995,18329026.446161114
2017-01-02 03:45:00,2.8,18329026.446161114
2017-01-02 04:00:00,3.0749999999999997,18329026.446161114
2017-01-02 04:15:00,3.3499999999999996,18329026.446161114
2017-01-02 04:30:00,3.625,18329026.446161114
2017-01-02 04:45:00,3.9,18329026.446161114
2017-01-02 05:00:00,2.775,20500952.453789067
2017-01-02 05:15:00,1.65,100143555.36730781
2017-01-02 05:30:00,0.525,98605450.19548233
2017-01-02 05:45:00,-0.6,20500952.453789067
2017-01-02 06:00:00,-0.29999999999999993,99046870.06821641
2017-01-02 06:15:00,0.0,83231530.0302623
2017-01-02 06:30:00,0.29999999999999993,94334315.92137082
2017-01-02 06:45:00,0.6,90168248.94062057
2017-01-02 07:00:00,1.275,97112635.19819626
2017-01-02 07:15:00,1.95,95613448.6964029
2017-01-02 07:30:00,2.6249999999999996,86275811.96673629
2017-01-02 07:45:00,3.3,78678004.3086076
2017-01-02 08:00:00,3.5749999999999997,102127566.28695698
2017-01-02 08:15:00,3.85,97768811.88151953
2017-01-02 08:30:00,4.125,96556624.25986943
2017-01-02 08:45:00,4.4,95542644.89508769
2017-01-02 09:00:00,5.95,86558608.51387514
2017-01-02 09:15:00,7.5,85095433.26990928
2017-01-02 09:30:00,9.049999999999999,83991995.29959461
2017-01-02 09:45:00,10.6,83235080.57385692
2017-01-02 10:00:00,11.149999999999999,81035000.92495856
2017-01-02 10:15:00,11.7,80708958.48436287
2017-01-02 10:30:00,12.250000000000002,80657773.68230416
2017-01-02 10:45:00,12.8,81015871.11167535
2017-01-02 11:00:00,13.350000000000001,84310050.31275955
2017-01-02 11:15:00,13.9,87566834.9317721
2017-01-02 11:30:00,14.45,90454780.57837571
2017-01-02 11:45:00,15.0,92316370.47961442
2017-01-02 12:00:00,15.425,91857132.336575
2017-01-02 12:15:00,15.85,93136832.18707307
2017-01-02 12:30:00,16.275,93797269.76522972
2017-01-02 12:45:00,16.7,94372811.08792305
2017-01-02 13:00:00,16.7,95485738.61861657
2017-01-02 13:15:00,16.7,95557645.24959265
2017-01-02 13:30:00,16.7,95547128.68291257
2017-01-02 13:45:00,16.7,95471837.92293277
2017-01-02 14:00:00,16.974999999999998,92044801.9185298
2017-01-02 14:15:00,17.25,92233550.10789217
2017-01-02 14:30:00,17.525000000000002,92686889.10980771
2017-01-02 14:45:00,17.8,92575145.17304268
2017-01-02 15:00:00,17.8,91695371.39346084
2017-01-02 15:15:00,17.8,91002116.56171949
2017-01-02 15:30:00,17.8,90569134.69019353
2017-01-02 15:45:00,17.8,89772303.76240973
2017-01-02 16:00:00,17.525000000000002,91420022.83297312
2017-01-02 16:15:00,17.25,90022085.68104571
2017-01-02 16:30:00,16.974999999999998,89971242.70106721
2017-01-02 16:45:00,16.7,89625287.98256186
2017-01-02 17:00:00,15.999999999999998,70973625.38287182
2017-01-02 17:15:00,15.3,69961598.78488709
2017-01-02 17:30:00,14.600000000000001,70427347.47744079
2017-01-02 17:45:00,13.9,72677550.49964167
2017-01-02 18:00:00,13.75,46913275.231756724
2017-01-02 18:15:00,13.600000000000001,48207444.40399044
2017-01-02 18:30:00,13.450000000000001,49256297.634212695
2017-01-02 18:45:00,13.3,50033946.89138916
2017-01-02 19:00:00,12.900000000000002,48502382.37303776
2017-01-02 19:15:00,12.5,49220626.74429151
2017-01-02 19:30:00,12.099999999999998,49859721.6430205
2017-01-02 19:45:00,11.7,50457942.05561151
2017-01-02 20:00:00,11.549999999999999,47375270.40015405
2017-01-02 20:15:00,11.399999999999999,48177085.773266755
2017-01-02 20:30:00,11.25,48849637.60801869
2017-01-02 20:45:00,11.1,49490934.274139956
2017-01-02 21:00:00,11.1,48714235.60045748
2017-01-02 21:15:00,11.1,49192964.02327939
2017-01-02 21:30:00,11.1,49580762.64112393
2017-01-02 21:45:00,11.1,49942801.42912436
2017-01-02 22:00:00,9.725,24963854.69814057
2017-01-02 22:15:00,8.35,24963854.69814057
2017-01-02 22:30:00,6.975,24963854.69814057
2017-01-02 22:45:00,5.6,24963854.69814057
2017-01-02 23:00:00,5.725,23000433.587244898
2017-01-02 23:15:00,5.85,23000433.587244898
2017-01-02 23:30:00,5.975,23000433.587244898
2017-01-02 23:45:00,6.1,23000433.587244898
2017-01-03 00:00:00,5.975,18329026.446161114
2017-01-03 00:15:00,5.85,18329026.446161114
2017-01-03 00:30:00,5.725,18329026.446161114
2017-01-03 00:45:00,5.6,18329026.446161114
2017-01-03 01:00:00,5.0249999999999995,18329026.446161114
2017-01-03 01:15:00,4.449999999999999,18329026.446161114
2017-01-03 01:30:00,3.8749999999999996,18329026.446161114
2017-01-03 01:45:00,3.3,18329026.446161114
2017-01-03 02:00:00,3.175,18329026.446161114
2017-01-03 02:15:00,3.05,18329026.446161114
2017-01-03 02:30:00,2.925,18329026.446161114
2017-01-03 02:45:00,2.8,18329026.446161114
2017-01-03 03:00:00,2.6499999999999995,18329026.446161114
2017-01-03 03:15:00,2.5,18329026.446161114
2017-01-03 03:30:00,2.35,18329026.446161114
2017-01-03 03:45:00,2.2,18329026.446161114
2017-01-03 04:00:00,1.9250000000000003,18329026.446161114
2017-01-03 04:15:00,1.6500000000000001,18329026.446161114
2017-01-03 04:30:00,1.375,18329026.446161114
2017-01-03 04:45:00,1.1,18329026.446161114
2017-01-03 05:00:00,1.25,84575943.84035194
2017-01-03 05:15:00,1.4,72563025.67531556
2017-01-03 05:30:00,1.5499999999999998,20500952.453789067
2017-01-03 05:45:00,1.7,74448967.95746551
2017-01-03 06:00:00,1.275,68881061.0540891
2017-01-03 06:15:00,0.85,77450480.6088198
2017-01-03 06:30:00,0.425,76226599.25701107
2017-01-03 06:45:00,0.0,77311325.15021811
2017-01-03 07:00:00,1.1,87476507.74961348
2017-01-03 07:15:00,2.2,86020208.79192024
2017-01-03 07:30:00,3.3000000000000003,77678125.80135639
2017-01-03 07:45:00,4.4,70833856.60767269
2017-01-03 08:00:00,5.525,98764512.98191689
2017-01-03 08:15:00,6.65,94531346.88426715
2017-01-03 08:30:00,7.775,93392861.57495365
2017-01-03 08:45:00,8.9,92233704.38941167
2017-01-03 09:00:00,9.600000000000001,83190882.69522923
2017-01-03 09:15:00,10.3,82236133.1695017
2017-01-03 09:30:00,10.999999999999998,81741458.74347545
2017-01-03 09:45:00,11.7,81412156.59917894
2017-01-03 10:00:00,12.524999999999999,79319578.9443597
2017-01-03 10:15:00,13.35,79189802.23007526
2017-01-03 10:30:00,14.175,79352188.98771237
2017-01-03 10:45:00,15.0,82613357.83648196
2017-01-03 11:00:00,15.425,88036050.75946806
2017-01-03 11:15:00,15.85,91272224.63308014
2017-01-03 11:30:00,16.275,92963129.46631248
2017-01-03 11:45:00,16.7,94002653.3275489
2017-01-03 12:00:00,17.25,94050108.0974892
2017-01-03 12:15:00,17.799999999999997,95348764.2955259
2017-01-03 12:30:00,18.349999999999998,96359356.57841592
2017-01-03 12:45:00,18.9,96939099.59869026
2017-01-03 13:00:00,19.174999999999997,98725926.02448289
2017-01-03 13:15:00,19.45,99337061.72909947
2017-01-03 13:30:00,19.725,99794944.42188542
2017-01-03 13:45:00,20.0,100135410.71129346
2017-01-03 14:00:00,20.15,96420603.41184446
2017-01-03 14:15:00,20.3,96328821.66803192
2017-01-03 14:30:00,20.450000000000003,95266377.6961091
2017-01-03 14:45:00,20.6,94051679.34699945
2017-01-03 15:00:00,20.450000000000003,92785477.05866553
2017-01-03 15:15:00,20.3,91302852.54690193
2017-01-03 15:30:00,20.15,91259654.66224551
2017-01-03 15:45:00,20.0,90360190.86668658
2017-01-03 16:00:00,20.15,94079275.92509325
2017-01-03 16:15:00,20.3,93843562.78602594
2017-01-03 16:30:00,20.450000000000003,95494131.53590268
2017-01-03 16:45:00,20.6,96161622.8061706
2017-01-03 17:00:00,20.3,77721381.7741436
2017-01-03 17:15:00,20.0,77179104.73476888
2017-01-03 17:30:00,19.7,76719790.37394276
2017-01-03 17:45:00,19.4,76326390.79325093
2017-01-03 18:00:00,19.125,49866577.10196586
2017-01-03 18:15:00,18.85,50105274.41675473
2017-01-03 18:30:00,18.575000000000003,50435309.00579234
2017-01-03 18:45:00,18.3,50614411.21319882
2017-01-03 19:00:00,17.475,47739286.630342074
2017-01-03 19:15:00,16.65,47293915.98815563
2017-01-03 19:30:00,15.825,46547610.797652155
2017-01-03 19:45:00,15.0,45141464.16433385
2017-01-03 20:00:00,14.85,42252575.19564573
2017-01-03 20:15:00,14.7,42821669.44899224
2017-01-03 20:30:00,14.55,43301358.88216879
2017-01-03 20:45:00,14.4,43744538.91457233
2017-01-03 21:00:00,14.0,43064308.41444477
2017-01-03 21:15:00,13.600000000000001,43676924.361893855
2017-01-03 21:30:00,13.200000000000001,44469406.18851836
2017-01-03 21:45:00,12.8,45123929.394418865
2017-01-03 22:00:00,12.250000000000002,24963854.69814057
2017-01-03 22:15:00,11.7,24963854.69814057
2017-01-03 22:30:00,11.149999999999999,24963854.69814057
2017-01-03 22:45:00,10.6,24963854.69814057
2017-01-03 23:00:00,11.0,23000433.587244898
2017-01-03 23:15:00,11.399999999999999,23000433.587244898
2017-01-03 23:30:00,11.799999999999999,23000433.587244898
2017-01-03 23:45:00,12.2,23000433.587244898
2017-01-04 00:00:00,11.649999999999999,18329026.446161114
2017-01-04 00:15:00,11.1,18329026.446161114
2017-01-04 00:30:00,10.55,18329026.446161114
2017-01-04 00:45:00,10.0,18329026.446161114
2017-01-04 01:00:00,10.0,18329026.446161114
2017-01-04 01:15:00,10.0,18329026.446161114
2017-01-04 01:30:00,10.0,18329026.446161114
2017-01-04 01:45:00,10.0,18329026.446161114
2017-01-04 02:00:00,10.0,18329026.446161114
2017-01-04 02:15:00,10.0,18329026.446161114
2017-01-04 02:30:00,10.0,18329026.446161114
2017-01-04 02:45:00,10.0,18329026.446161114
2017-01-04 03:00:00,9.85,18329026.446161114
2017-01-04 03:15:00,9.7,18329026.446161114
2017-01-04 03:30:00,9.55,18329026.446161114
2017-01-04 03:45:00,9.4,18329026.446161114
2017-01-04 04:00:00,9.275,18329026.446161114
2017-01-04 04:15:00,9.15,18329026.446161114
2017-01-04 04:30:00,9.025,18329026.446161114
2017-01-04 04:45:00,8.9,18329026.446161114
2017-01-04 05:00:00,8.625,20500952.453789067
2017-01-04 05:15:00,8.35,20500952.453789067
2017-01-04 05:30:00,8.075,20500952.453789067
2017-01-04 05:45:00,7.8,20500952.453789067
2017-01-04 06:00:00,7.8,67401621.93186031
2017-01-04 06:15:00,7.8,60953198.4242846
2017-01-04 06:30:00,7.8,61085857.155920215
2017-01-04 06:45:00,7.8,58667681.978877895
2017-01-04 07:00:00,7.8,73895243.70977782
2017-01-04 07:15:00,7.8,73661363.7011259
2017-01-04 07:30:00,7.8,66777330.91887212
2017-01-04 07:45:00,7.8,60760860.69823755
2017-01-04 08:00:00,8.075,93894989.06186639
2017-01-04 08:15:00,8.35,91868616.93790331
2017-01-04 08:30:00,8.625,91290889.9601349
2017-01-04 08:45:00,8.9,91145986.89052151
2017-01-04 09:00:00,9.025,83060681.9354734
2017-01-04 09:15:00,9.15,82615528.71910234
2017-01-04 09:30:00,9.275,82597103.59693247
2017-01-04 09:45:00,9.4,82445101.66364004
2017-01-04 10:00:00,9.700000000000001,80464488.58656995
2017-01-04 10:15:00,10.0,80649734.23654646
2017-01-04 10:30:00,10.299999999999999,81014043.13689776
2017-01-04 10:45:00,10.6,81259927.0558813
2017-01-04 11:00:00,10.6,83279045.3277825
2017-01-04 11:15:00,10.6,83386361.02856456
2017-01-04 11:30:00,10.6,83075038.22463447
2017-01-04 11:45:00,10.6,82856680.9988885
2017-01-04 12:00:00,10.875,83793224.16180271
2017-01-04 12:15:00,11.149999999999999,83376353.18492067
2017-01-04 12:30:00,11.424999999999999,82895115.46207994
2017-01-04 12:45:00,11.7,82046288.11974801
2017-01-04 13:00:00,11.7,81492718.9183487
2017-01-04 13:15:00,11.7,81531111.92651755
2017-01-04 13:30:00,11.7,81565430.36539795
2017-01-04 13:45:00,11.7,81594877.8688855
2017-01-04 14:00:00,11.825,78200259.7241812
2017-01-04 14:15:00,11.95,78225563.49483599
2017-01-04 14:30:00,12.075,78492043.18372825
2017-01-04 14:45:00,12.2,79282732.75836082
2017-01-04 15:00:00,12.2,79506784.3359388
2017-01-04 15:15:00,12.2,79924075.97598527
2017-01-04 15:30:00,12.2,80874888.72691424
2017-01-04 15:45:00,12.2,80729887.00283645
2017-01-04 16:00:00,12.075,83003649.93699245
2017-01-04 16:15:00,11.95,82345811.12053351
2017-01-04 16:30:00,11.825,83676635.46311826
2017-01-04 16:45:00,11.7,84200807.84205486
2017-01-04 17:00:00,11.274999999999999,69503622.75034593
2017-01-04 17:15:00,10.85,70735204.83255985
2017-01-04 17:30:00,10.425,73059648.7044458
2017-01-04 17:45:00,10.0,75018764.6682463
2017-01-04 18:00:00,9.725,46416399.50281059
2017-01-04 18:15:00,9.45,47811890.473831736
2017-01-04 18:30:00,9.175,48760229.32812586
2017-01-04 18:45:00,8.9,49920602.6769461
2017-01-04 19:00:00,8.475000000000001,48199894.23669737
2017-01-04 19:15:00,8.05,49092794.806901485
2017-01-04 19:30:00,7.625,49931033.48575961
2017-01-04 19:45:00,7.2,50781654.44230283
2017-01-04 20:00:00,6.925000000000001,47970938.17443514
2017-01-04 20:15:00,6.65,48752115.60193018
2017-01-04 20:30:00,6.374999999999999,49681824.51131694
2017-01-04 20:45:00,6.1,50529180.672257334
2017-01-04 21:00:00,5.674999999999999,50059984.29259386
2017-01-04 21:15:00,5.25,50792184.36933393
2017-01-04 21:30:00,4.825,51680691.72892275
2017-01-04 21:45:00,4.4,52448678.56455893
2017-01-04 22:00:00,4.550000000000001,24963854.69814057
2017-01-04 22:15:00,4.7,24963854.69814057
2017-01-04 22:30:00,4.85,24963854.69814057
2017-01-04 22:45:00,5.0,24963854.69814057
2017-01-04 23:00:00,4.3,23000433.587244898
2017-01-04 23:15:00,3.6,23000433.587244898
2017-01-04 23:30:00,2.9000000000000004,23000433.587244898
2017-01-04 23:45:00,2.2,23000433.587244898
2017-01-05 00:00:00,1.5000000000000002,18329026.446161114
2017-01-05 00:15:00,0.8,18329026.446161114
2017-01-05 00:30:00,0.10000000000000009,18329026.446161114
2017-01-05 00:45:00,-0.6,18329026.446161114
2017-01-05 01:00:00,-0.6,18329026.446161114
2017-01-05 01:15:00,-0.6,18329026.446161114
2017-01-05 01:30:00,-0.6,18329026.446161114
2017-01-05 01:45:00,-0.6,18329026.446161114
2017-01-05 02:00:00,-0.725,18329026.446161114
2017-01-05 02:15:00,-0.8500000000000001,18329026.446161114
2017-01-05 02:30:00,-0.9750000000000001,18329026.446161114
