,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Electricity:Facility [J](TimeStep)
2017-01-01 00:00:00,6.7,110800316.47902921
2017-01-01 00:15:00,6.7,91247373.73632385
2017-01-01 00:30:00,6.7,34296410.97527065
2017-01-01 00:45:00,6.7,112388618.3267466
2017-01-01 01:00:00,6.9750000000000005,90574828.97254245
2017-01-01 01:15:00,7.25,34296410.97527065
2017-01-01 01:30:00,7.5249999999999995,108533542.9509729
2017-01-01 01:45:00,7.8,88050338.70112197
2017-01-01 02:00:00,8.5,34296410.97527065
2017-01-01 02:15:00,9.2,99308546.12815264
2017-01-01 02:30:00,9.899999999999999,89001589.19265352
2017-01-01 02:45:00,10.6,34296410.97527065
2017-01-01 03:00:00,9.475,94457134.11521266
2017-01-01 03:15:00,8.35,90845336.54711391
2017-01-01 03:30:00,7.225,34296410.97527065
2017-01-01 03:45:00,6.1,118227721.67272627
2017-01-01 04:00:00,6.374999999999999,96221380.14492632
2017-01-01 04:15:00,6.65,34296410.97527065
2017-01-01 04:30:00,6.925000000000001,117138007.41278611
2017-01-01 04:45:00,7.2,91694133.16885515
2017-01-01 05:00:00,7.2,34296410.97527065
2017-01-01 05:15:00,7.2,115400386.43998328
2017-01-01 05:30:00,7.2,93396655.51396799
2017-01-01 05:45:00,7.2,34296410.97527065
2017-01-01 06:00:00,6.925000000000001,118099568.23805463
2017-01-01 06:15:00,6.65,96391030.0687294
2017-01-01 06:30:00,6.374999999999999,34304236.73949531
2017-01-01 06:45:00,6.1,124597602.41356876
2017-01-01 07:00:00,5.824999999999999,83852525.67055462
2017-01-01 07:15:00,5.55,18276136.739495307
2017-01-01 07:30:00,5.275,113315244.09691499
2017-01-01 07:45:00,5.0,83501856.54253057
2017-01-01 08:00:00,5.7,18276136.739495307
2017-01-01 08:15:00,6.4,98705368.38317938
2017-01-01 08:30:00,7.1,76130476.4313063
2017-01-01 08:45:00,7.8,18276136.739495307
2017-01-01 09:00:00,8.35,62777392.103308
2017-01-01 09:15:00,8.9,58105258.939519
2017-01-01 09:30:00,9.45,18276136.739495307
2017-01-01 09:45:00,10.0,46753381.2914195
2017-01-01 10:00:00,10.7,50834808.0743901
2017-01-01 10:15:00,11.4,18276136.739495307
2017-01-01 10:30:00,12.100000000000001,48280565.07261387
2017-01-01 10:45:00,12.8,47622688.39645879
2017-01-01 11:00:00,13.200000000000001,18276136.739495307
2017-01-01 11:15:00,13.600000000000001,18276136.739495307
2017-01-01 11:30:00,14.0,18276136.739495307
2017-01-01 11:45:00,14.4,18276136.739495307
2017-01-01 12:00:00,14.55,18276136.739495307
