,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Electricity:Facility [J](TimeStep)
2017-01-01 00:00:00,6.7,110800276.25652486
2017-01-01 00:15:00,6.7,91247336.99436519
2017-01-01 00:30:00,6.7,34296410.97527065
2017-01-01 00:45:00,6.7,112388531.14446275
2017-01-01 01:00:00,6.9750000000000005,90574805.20015961
2017-01-01 01:15:00,7.25,34296410.97527065
2017-01-01 01:30:00,7.5249999999999995,108533498.45143543
2017-01-01 01:45:00,7.8,88050305.32593523
2017-01-01 02:00:00,8.5,34296410.97527065
2017-01-01 02:15:00,9.2,99308498.78215727
2017-01-01 02:30:00,9.899999999999999,89001545.92726842
2017-01-01 02:45:00,10.6,34296410.97527065
2017-01-01 03:00:00,9.475,94457087.53189406
2017-01-01 03:15:00,8.35,90845304.21334082
2017-01-01 03:30:00,7.225,34296410.97527065
2017-01-01 03:45:00,6.1,118227671.16140807
2017-01-01 04:00:00,6.374999999999999,96221348.6548497
2017-01-01 04:15:00,6.65,34296410.97527065
2017-01-01 04:30:00,6.925000000000001,117137965.08106463
2017-01-01 04:45:00,7.2,91694102.35193884
2017-01-01 05:00:00,7.2,34296410.97527065
2017-01-01 05:15:00,7.2,115400335.99820118
2017-01-01 05:30:00,7.2,93396635.16814144
2017-01-01 05:45:00,7.2,34296410.97527065
2017-01-01 06:00:00,6.925000000000001,118099522.2433186
2017-01-01 06:15:00,6.65,96391004.65696184
2017-01-01 06:30:00,6.374999999999999,34304236.73949531
2017-01-01 06:45:00,6.1,124597563.1248459
2017-01-01 07:00:00,5.824999999999999,83852496.20950389
2017-01-01 07:15:00,5.55,18276136.739495307
2017-01-01 07:30:00,5.275,113315204.05500351
2017-01-01 07:45:00,5.0,83501828.70248635
2017-01-01 08:00:00,5.7,18276136.739495307
2017-01-01 08:15:00,6.4,98705330.46764733
2017-01-01 08:30:00,7.1,76130445.92916359
2017-01-01 08:45:00,7.8,18276136.739495307
2017-01-01 09:00:00,8.35,62777362.52270227
2017-01-01 09:15:00,8.9,58105234.66687606
2017-01-01 09:30:00,9.45,18276136.739495307
2017-01-01 09:45:00,10.0,46753359.80374016
2017-01-01 10:00:00,10.7,50834781.1936346
2017-01-01 10:15:00,11.4,18276136.739495307
2017-01-01 10:30:00,12.100000000000001,48280550.87528527
2017-01-01 10:45:00,12.8,47622671.10502611
2017-01-01 11:00:00,13.200000000000001,18276136.739495307
2017-01-01 11:15:00,13.600000000000001,18276136.739495307
2017-01-01 11:30:00,14.0,18276136.739495307
2017-01-01 11:45:00,14.4,18276136.739495307
2017-01-01 12:00:00,14.55,18276136.739495307
2017-01-01 12:15:00,14.7,18276136.739495307
2017-01-01 12:30:00,14.85,18276136.739495307
2017-01-01 12:45:00,15.0,18276136.739495307
2017-01-01 13:00:00,15.15,18276136.739495307
2017-01-01 13:15:00,15.3,18276136.739495307
2017-01-01 13:30:00,15.45,18276136.739495307
2017-01-01 13:45:00,15.6,18276136.739495307
2017-01-01 14:00:00,15.725,18276136.739495307
2017-01-01 14:15:00,15.850000000000001,18276136.739495307
2017-01-01 14:30:00,15.975000000000001,18276136.739495307
2017-01-01 14:45:00,16.1,18276136.739495307
2017-01-01 15:00:00,15.975000000000001,18276136.739495307
2017-01-01 15:15:00,15.850000000000001,18276136.739495307
2017-01-01 15:30:00,15.725,18276136.739495307
2017-01-01 15:45:00,15.6,18276136.739495307
2017-01-01 16:00:00,15.299999999999999,18276136.739495307
2017-01-01 16:15:00,15.0,18276136.739495307
2017-01-01 16:30:00,14.700000000000001,18276136.739495307
2017-01-01 16:45:00,14.4,18276136.739495307
2017-01-01 17:00:00,14.0,34304236.73949531
2017-01-01 17:15:00,13.600000000000001,34304236.73949531
2017-01-01 17:30:00,13.200000000000001,34304236.73949531
2017-01-01 17:45:00,12.8,34304236.73949531
2017-01-01 18:00:00,12.375000000000002,39463683.86028785
2017-01-01 18:15:00,11.95,50131272.01144818
2017-01-01 18:30:00,11.524999999999999,34296410.97527065
2017-01-01 18:45:00,11.1,56629871.095647894
2017-01-01 19:00:00,10.674999999999999,67795235.16042115
2017-01-01 19:15:00,10.25,34296410.97527065
2017-01-01 19:30:00,9.825000000000001,65259769.17167423
2017-01-01 19:45:00,9.4,65440296.62127858
2017-01-01 20:00:00,9.125,34296410.97527065
2017-01-01 20:15:00,8.850000000000001,82396562.44375774
2017-01-01 20:30:00,8.575000000000001,81323076.17740943
2017-01-01 20:45:00,8.3,34296410.97527065
2017-01-01 21:00:00,8.575000000000001,88268889.02532166
2017-01-01 21:15:00,8.850000000000001,82459518.51606607
2017-01-01 21:30:00,9.125,34296410.97527065
2017-01-01 21:45:00,9.4,85725544.96341465
2017-01-01 22:00:00,8.850000000000001,79929658.98850021
2017-01-01 22:15:00,8.3,34296410.97527065
2017-01-01 22:30:00,7.75,96558223.08724202
2017-01-01 22:45:00,7.2,87909721.47771512
2017-01-01 23:00:00,7.075,34296410.97527065
2017-01-01 23:15:00,6.95,105513166.26489167
2017-01-01 23:30:00,6.825,90198267.5406313
2017-01-01 23:45:00,6.7,34296410.97527065
2017-01-02 00:00:00,6.0,117103858.23616792
2017-01-02 00:15:00,5.3,100253548.66819267
2017-01-02 00:30:00,4.6,39122913.21444386
2017-01-02 00:45:00,3.9,135566302.08027902
2017-01-02 01:00:00,3.9,106879128.25870937
2017-01-02 01:15:00,3.9,39122913.21444386
2017-01-02 01:30:00,3.9,139906968.58671108
2017-01-02 01:45:00,3.9,120504661.79853033
2017-01-02 02:00:00,3.4749999999999996,39122913.21444386
2017-01-02 02:15:00,3.05,147591540.07557783
2017-01-02 02:30:00,2.625,128942444.2384137
2017-01-02 02:45:00,2.2,39122913.21444386
2017-01-02 03:00:00,2.35,156284640.45582885
2017-01-02 03:15:00,2.5,131860008.97782376
2017-01-02 03:30:00,2.6499999999999995,39122913.21444386
2017-01-02 03:45:00,2.8,154221962.06742653
2017-01-02 04:00:00,3.0749999999999997,130470874.37787206
2017-01-02 04:15:00,3.3499999999999996,39122913.21444386
2017-01-02 04:30:00,3.625,150725135.7564874
2017-01-02 04:45:00,3.9,127932863.58889702
2017-01-02 05:00:00,2.775,42911717.47219485
2017-01-02 05:15:00,1.65,165153044.23970538
2017-01-02 05:30:00,0.525,149547346.46395603
2017-01-02 05:45:00,-0.6,42911717.47219485
2017-01-02 06:00:00,-0.29999999999999993,317829790.42873174
2017-01-02 06:15:00,0.0,316446758.8651584
2017-01-02 06:30:00,0.29999999999999993,299697859.4367482
2017-01-02 06:45:00,0.6,291487225.35118216
2017-01-02 07:00:00,1.275,280285006.2223378
2017-01-02 07:15:00,1.95,271766016.33616793
2017-01-02 07:30:00,2.6249999999999996,254804439.49615797
2017-01-02 07:45:00,3.3,238873378.99893025
2017-01-02 08:00:00,3.5749999999999997,269573126.0481332
2017-01-02 08:15:00,3.85,251989156.59968987
2017-01-02 08:30:00,4.125,243238647.3673552
2017-01-02 08:45:00,4.4,235867526.38858792
2017-01-02 09:00:00,5.95,221018480.0145112
2017-01-02 09:15:00,7.5,214456708.3101959
2017-01-02 09:30:00,9.049999999999999,209264675.72757402
2017-01-02 09:45:00,10.6,215696253.37091765
2017-01-02 10:00:00,11.149999999999999,212075383.75369513
2017-01-02 10:15:00,11.7,210252968.9166058
2017-01-02 10:30:00,12.250000000000002,208852808.37083092
2017-01-02 10:45:00,12.8,207760748.63563156
2017-01-02 11:00:00,13.350000000000001,208520090.755412
2017-01-02 11:15:00,13.9,207529408.2896381
2017-01-02 11:30:00,14.45,206704711.2994959
2017-01-02 11:45:00,15.0,205904854.96183252
2017-01-02 12:00:00,15.425,209938666.53668714
2017-01-02 12:15:00,15.85,208924305.77603677
2017-01-02 12:30:00,16.275,207465827.47342613
2017-01-02 12:45:00,16.7,205745166.22897428
2017-01-02 13:00:00,16.7,200032285.13958275
2017-01-02 13:15:00,16.7,197655722.4947177
2017-01-02 13:30:00,16.7,195229097.98607635
2017-01-02 13:45:00,16.7,192754498.70920634
2017-01-02 14:00:00,16.974999999999998,187635028.91332573
2017-01-02 14:15:00,17.25,185700046.19459423
2017-01-02 14:30:00,17.525000000000002,184188763.63915485
2017-01-02 14:45:00,17.8,183090859.8179561
2017-01-02 15:00:00,17.8,181973032.28951886
2017-01-02 15:15:00,17.8,181153648.71248096
2017-01-02 15:30:00,17.8,180366181.15532032
2017-01-02 15:45:00,17.8,179721308.99356237
2017-01-02 16:00:00,17.525000000000002,181545499.85716403
2017-01-02 16:15:00,17.25,181264614.56954166
2017-01-02 16:30:00,16.974999999999998,181340722.8850349
2017-01-02 16:45:00,16.7,182743368.91572177
2017-01-02 17:00:00,15.999999999999998,179098922.07939962
2017-01-02 17:15:00,15.3,183815769.94478127
2017-01-02 17:30:00,14.600000000000001,186733433.2099486
2017-01-02 17:45:00,13.9,189381164.0333381
2017-01-02 18:00:00,13.75,162018850.90528056
2017-01-02 18:15:00,13.600000000000001,164289590.11145675
2017-01-02 18:30:00,13.450000000000001,165688451.51352346
2017-01-02 18:45:00,13.3,166770348.3371525
2017-01-02 19:00:00,12.900000000000002,166484751.81593755
2017-01-02 19:15:00,12.5,168291625.94626543
2017-01-02 19:30:00,12.099999999999998,169040447.58320698
2017-01-02 19:45:00,11.7,170477504.1071644
2017-01-02 20:00:00,11.549999999999999,121210550.51636842
2017-01-02 20:15:00,11.399999999999999,172040404.77573997
2017-01-02 20:30:00,11.25,56375573.99109472
2017-01-02 20:45:00,11.1,174514773.30383128
2017-01-02 21:00:00,11.1,167618497.2907392
2017-01-02 21:15:00,11.1,55323653.99109472
2017-01-02 21:30:00,11.1,172780247.26896682
2017-01-02 21:45:00,11.1,169684721.16633448
2017-01-02 22:00:00,9.725,42919543.23641951
2017-01-02 22:15:00,8.35,42919543.23641951
2017-01-02 22:30:00,6.975,42919543.23641951
2017-01-02 22:45:00,5.6,42919543.23641951
2017-01-02 23:00:00,5.725,39130738.97866852
2017-01-02 23:15:00,5.85,39130738.97866852
2017-01-02 23:30:00,5.975,39130738.97866852
2017-01-02 23:45:00,6.1,54178648.19103797
2017-01-03 00:00:00,5.975,55211605.41106273
2017-01-03 00:15:00,5.85,39122913.21444386
2017-01-03 00:30:00,5.725,56920648.01924176
2017-01-03 00:45:00,5.6,83944734.8751294
2017-01-03 01:00:00,5.0249999999999995,68246642.23377144
2017-01-03 01:15:00,4.449999999999999,60988345.01113823
2017-01-03 01:30:00,3.8749999999999996,98055221.8432073
2017-01-03 01:45:00,3.3,76511231.2051186
2017-01-03 02:00:00,3.175,66152468.14017726
2017-01-03 02:15:00,3.05,107038297.41797148
2017-01-03 02:30:00,2.925,80904664.75380956
2017-01-03 02:45:00,2.8,69128377.42513272
2017-01-03 03:00:00,2.6499999999999995,114152801.93006694
2017-01-03 03:15:00,2.5,84778817.85172135
2017-01-03 03:30:00,2.35,72022661.58065754
2017-01-03 03:45:00,2.2,121248388.20334643
2017-01-03 04:00:00,1.9250000000000003,88803225.62440954
2017-01-03 04:15:00,1.6500000000000001,76509897.0413146
2017-01-03 04:30:00,1.375,129966311.81530647
2017-01-03 04:45:00,1.1,93535753.16762173
2017-01-03 05:00:00,1.25,82771601.51433516
2017-01-03 05:15:00,1.4,136435104.74721044
2017-01-03 05:30:00,1.5499999999999998,96583575.46895155
2017-01-03 05:45:00,1.7,82320880.72952227
2017-01-03 06:00:00,1.275,277745094.7887094
2017-01-03 06:15:00,0.85,261812685.38819525
2017-01-03 06:30:00,0.425,246974684.19487378
2017-01-03 06:45:00,0.0,243160424.91361102
2017-01-03 07:00:00,1.1,232340376.46369925
2017-01-03 07:15:00,2.2,224086691.66596165
2017-01-03 07:30:00,3.3000000000000003,208094507.25548598
2017-01-03 07:45:00,4.4,193492794.92382154
2017-01-03 08:00:00,5.525,231237961.10222003
2017-01-03 08:15:00,6.65,215072834.78573367
2017-01-03 08:30:00,7.775,206371033.35697106
2017-01-03 08:45:00,8.9,199294147.56658503
2017-01-03 09:00:00,9.600000000000001,187393931.8740873
2017-01-03 09:15:00,10.3,191450451.0083287
2017-01-03 09:30:00,10.999999999999998,193374630.5255669
2017-01-03 09:45:00,11.7,191907700.9332086
2017-01-03 10:00:00,12.524999999999999,188981095.84502885
2017-01-03 10:15:00,13.35,187800185.25238764
2017-01-03 10:30:00,14.175,187159535.2005219
2017-01-03 10:45:00,15.0,186574553.3091081
2017-01-03 11:00:00,15.425,188274426.65074402
2017-01-03 11:15:00,15.85,188340606.237049
2017-01-03 11:30:00,16.275,187999501.7442884
2017-01-03 11:45:00,16.7,187684167.15422317
2017-01-03 12:00:00,17.25,191637602.75952628
2017-01-03 12:15:00,17.799999999999997,191379411.01738924
2017-01-03 12:30:00,18.349999999999998,190498505.24509266
2017-01-03 12:45:00,18.9,189440215.6241864
2017-01-03 13:00:00,19.174999999999997,185377847.9462378
2017-01-03 13:15:00,19.45,183699731.64849448
2017-01-03 13:30:00,19.725,181722339.0982743
2017-01-03 13:45:00,20.0,179942040.6685653
2017-01-03 14:00:00,20.15,175559622.39410818
2017-01-03 14:15:00,20.3,174320352.0945048
2017-01-03 14:30:00,20.450000000000003,173150844.93060157
2017-01-03 14:45:00,20.6,172507665.99762753
2017-01-03 15:00:00,20.450000000000003,172112035.2868809
2017-01-03 15:15:00,20.3,171855470.5562514
2017-01-03 15:30:00,20.15,171688441.64066005
2017-01-03 15:45:00,20.0,171867047.85889766
2017-01-03 16:00:00,20.15,174906655.28781334
2017-01-03 16:15:00,20.3,175772797.2785567
2017-01-03 16:30:00,20.450000000000003,176642132.32204917
2017-01-03 16:45:00,20.6,177957779.752464
2017-01-03 17:00:00,20.3,168332945.04549187
2017-01-03 17:15:00,20.0,170391661.47645816
2017-01-03 17:30:00,19.7,171411595.79750857
2017-01-03 17:45:00,19.4,172456607.33867937
