MeasureID,BldgType,BldgVint,BldgLoc,BldgConst,Tstat
Office_1_1_1_2_1,1,1,1,2,1
Office_1_1_1_2_2,1,1,1,2,2
Office_1_1_1_2_3,1,1,1,2,3
Office_1_1_1_2_4,1,1,1,2,4
Office_1_1_1_2_5,1,1,1,2,5
Office_1_1_1_4_1,1,1,1,4,1
Office_1_1_1_4_2,1,1,1,4,2
Office_1_1_1_4_3,1,1,1,4,3
Office_1_1_1_4_4,1,1,1,4,4
Office_1_1_1_4_5,1,1,1,4,5
Office_1_1_2_2_1,1,1,2,2,1
Office_1_1_2_2_2,1,1,2,2,2
Office_1_1_2_2_3,1,1,2,2,3
Office_1_1_2_2_4,1,1,2,2,4
Office_1_1_2_2_5,1,1,2,2,5
Office_1_1_2_4_1,1,1,2,4,1
Office_1_1_2_4_2,1,1,2,4,2
Office_1_1_2_4_3,1,1,2,4,3
Office_1_1_2_4_4,1,1,2,4,4
Office_1_1_2_4_5,1,1,2,4,5
Office_1_1_3_2_1,1,1,3,2,1
Office_1_1_3_2_2,1,1,3,2,2
Office_1_1_3_2_3,1,1,3,2,3
Office_1_1_3_2_4,1,1,3,2,4
Office_1_1_3_2_5,1,1,3,2,5
Office_1_1_3_4_1,1,1,3,4,1
Office_1_1_3_4_2,1,1,3,4,2
Office_1_1_3_4_3,1,1,3,4,3
Office_1_1_3_4_4,1,1,3,4,4
Office_1_1_3_4_5,1,1,3,4,5
Office_1_1_4_2_1,1,1,4,2,1
Office_1_1_4_2_2,1,1,4,2,2
Office_1_1_4_2_3,1,1,4,2,3
Office_1_1_4_2_4,1,1,4,2,4
Office_1_1_4_2_5,1,1,4,2,5
Office_1_1_4_4_1,1,1,4,4,1
Office_1_1_4_4_2,1,1,4,4,2
Office_1_1_4_4_3,1,1,4,4,3
Office_1_1_4_4_4,1,1,4,4,4
Office_1_1_4_4_5,1,1,4,4,5
Office_1_1_5_2_1,1,1,5,2,1
Office_1_1_5_2_2,1,1,5,2,2
Office_1_1_5_2_3,1,1,5,2,3
Office_1_1_5_2_4,1,1,5,2,4
Office_1_1_5_2_5,1,1,5,2,5
Office_1_1_5_4_1,1,1,5,4,1
Office_1_1_5_4_2,1,1,5,4,2
Office_1_1_5_4_3,1,1,5,4,3
Office_1_1_5_4_4,1,1,5,4,4
Office_1_1_5_4_5,1,1,5,4,5
Office_1_2_1_2_1,1,2,1,2,1
Office_1_2_1_2_2,1,2,1,2,2
Office_1_2_1_2_3,1,2,1,2,3
Office_1_2_1_2_4,1,2,1,2,4
Office_1_2_1_2_5,1,2,1,2,5
Office_1_2_1_4_1,1,2,1,4,1
Office_1_2_1_4_2,1,2,1,4,2
Office_1_2_1_4_3,1,2,1,4,3
Office_1_2_1_4_4,1,2,1,4,4
Office_1_2_1_4_5,1,2,1,4,5
Office_1_2_2_2_1,1,2,2,2,1
Office_1_2_2_2_2,1,2,2,2,2
Office_1_2_2_2_3,1,2,2,2,3
Office_1_2_2_2_4,1,2,2,2,4
Office_1_2_2_2_5,1,2,2,2,5
Office_1_2_2_4_1,1,2,2,4,1
Office_1_2_2_4_2,1,2,2,4,2
Office_1_2_2_4_3,1,2,2,4,3
Office_1_2_2_4_4,1,2,2,4,4
Office_1_2_2_4_5,1,2,2,4,5
Office_1_2_3_2_1,1,2,3,2,1
Office_1_2_3_2_2,1,2,3,2,2
Office_1_2_3_2_3,1,2,3,2,3
