model_Id,hvac_tstat,event_start,event_hours,precool_hours,precool_degF,reset_degF
"DF_70_6_2_[4, 6]_0_0",70,6,2,4,0,0
"DF_70_6_2_[4, 6]_0_2",70,6,2,4,0,2
"DF_70_6_2_[4, 6]_0_4",70,6,2,4,0,4
"DF_70_6_2_[4, 6]_0_6",70,6,2,4,0,6
"DF_70_6_2_[4, 6]_2_0",70,6,2,4,2,0
"DF_70_6_2_[4, 6]_2_2",70,6,2,4,2,2
"DF_70_6_2_[4, 6]_2_4",70,6,2,4,2,4
"DF_70_6_2_[4, 6]_2_6",70,6,2,4,2,6
"DF_70_6_2_[4, 6]_0_0",70,6,2,6,0,0
"DF_70_6_2_[4, 6]_0_2",70,6,2,6,0,2
"DF_70_6_2_[4, 6]_0_4",70,6,2,6,0,4
"DF_70_6_2_[4, 6]_0_6",70,6,2,6,0,6
"DF_70_6_2_[4, 6]_2_0",70,6,2,6,2,0
"DF_70_6_2_[4, 6]_2_2",70,6,2,6,2,2
"DF_70_6_2_[4, 6]_2_4",70,6,2,6,2,4
"DF_70_6_2_[4, 6]_2_6",70,6,2,6,2,6
"DF_70_6_4_[4, 6]_0_0",70,6,4,4,0,0
"DF_70_6_4_[4, 6]_0_2",70,6,4,4,0,2
"DF_70_6_4_[4, 6]_0_4",70,6,4,4,0,4
"DF_70_6_4_[4, 6]_0_6",70,6,4,4,0,6
"DF_70_6_4_[4, 6]_2_0",70,6,4,4,2,0
"DF_70_6_4_[4, 6]_2_2",70,6,4,4,2,2
"DF_70_6_4_[4, 6]_2_4",70,6,4,4,2,4
"DF_70_6_4_[4, 6]_2_6",70,6,4,4,2,6
"DF_70_6_4_[4, 6]_0_0",70,6,4,6,0,0
"DF_70_6_4_[4, 6]_0_2",70,6,4,6,0,2
"DF_70_6_4_[4, 6]_0_4",70,6,4,6,0,4
"DF_70_6_4_[4, 6]_0_6",70,6,4,6,0,6
"DF_70_6_4_[4, 6]_2_0",70,6,4,6,2,0
"DF_70_6_4_[4, 6]_2_2",70,6,4,6,2,2
"DF_70_6_4_[4, 6]_2_4",70,6,4,6,2,4
"DF_70_6_4_[4, 6]_2_6",70,6,4,6,2,6
"DF_70_6_6_[4, 6]_0_0",70,6,6,4,0,0
"DF_70_6_6_[4, 6]_0_2",70,6,6,4,0,2
"DF_70_6_6_[4, 6]_0_4",70,6,6,4,0,4
"DF_70_6_6_[4, 6]_0_6",70,6,6,4,0,6
"DF_70_6_6_[4, 6]_2_0",70,6,6,4,2,0
"DF_70_6_6_[4, 6]_2_2",70,6,6,4,2,2
"DF_70_6_6_[4, 6]_2_4",70,6,6,4,2,4
"DF_70_6_6_[4, 6]_2_6",70,6,6,4,2,6
"DF_70_6_6_[4, 6]_0_0",70,6,6,6,0,0
"DF_70_6_6_[4, 6]_0_2",70,6,6,6,0,2
"DF_70_6_6_[4, 6]_0_4",70,6,6,6,0,4
"DF_70_6_6_[4, 6]_0_6",70,6,6,6,0,6
"DF_70_6_6_[4, 6]_2_0",70,6,6,6,2,0
"DF_70_6_6_[4, 6]_2_2",70,6,6,6,2,2
"DF_70_6_6_[4, 6]_2_4",70,6,6,6,2,4
"DF_70_6_6_[4, 6]_2_6",70,6,6,6,2,6
"DF_70_7_2_[4, 6]_0_0",70,7,2,4,0,0
"DF_70_7_2_[4, 6]_0_2",70,7,2,4,0,2
"DF_70_7_2_[4, 6]_0_4",70,7,2,4,0,4
"DF_70_7_2_[4, 6]_0_6",70,7,2,4,0,6
"DF_70_7_2_[4, 6]_2_0",70,7,2,4,2,0
"DF_70_7_2_[4, 6]_2_2",70,7,2,4,2,2
"DF_70_7_2_[4, 6]_2_4",70,7,2,4,2,4
"DF_70_7_2_[4, 6]_2_6",70,7,2,4,2,6
"DF_70_7_2_[4, 6]_0_0",70,7,2,6,0,0
"DF_70_7_2_[4, 6]_0_2",70,7,2,6,0,2
"DF_70_7_2_[4, 6]_0_4",70,7,2,6,0,4
"DF_70_7_2_[4, 6]_0_6",70,7,2,6,0,6
"DF_70_7_2_[4, 6]_2_0",70,7,2,6,2,0
"DF_70_7_2_[4, 6]_2_2",70,7,2,6,2,2
"DF_70_7_2_[4, 6]_2_4",70,7,2,6,2,4
"DF_70_7_2_[4, 6]_2_6",70,7,2,6,2,6
"DF_70_7_4_[4, 6]_0_0",70,7,4,4,0,0
"DF_70_7_4_[4, 6]_0_2",70,7,4,4,0,2
"DF_70_7_4_[4, 6]_0_4",70,7,4,4,0,4
"DF_70_7_4_[4, 6]_0_6",70,7,4,4,0,6
"DF_70_7_4_[4, 6]_2_0",70,7,4,4,2,0
"DF_70_7_4_[4, 6]_2_2",70,7,4,4,2,2
"DF_70_7_4_[4, 6]_2_4",70,7,4,4,2,4
"DF_70_7_4_[4, 6]_2_6",70,7,4,4,2,6
"DF_70_7_4_[4, 6]_0_0",70,7,4,6,0,0
"DF_70_7_4_[4, 6]_0_2",70,7,4,6,0,2
"DF_70_7_4_[4, 6]_0_4",70,7,4,6,0,4
"DF_70_7_4_[4, 6]_0_6",70,7,4,6,0,6
"DF_70_7_4_[4, 6]_2_0",70,7,4,6,2,0
"DF_70_7_4_[4, 6]_2_2",70,7,4,6,2,2
"DF_70_7_4_[4, 6]_2_4",70,7,4,6,2,4
"DF_70_7_4_[4, 6]_2_6",70,7,4,6,2,6
"DF_70_7_6_[4, 6]_0_0",70,7,6,4,0,0
"DF_70_7_6_[4, 6]_0_2",70,7,6,4,0,2
"DF_70_7_6_[4, 6]_0_4",70,7,6,4,0,4
"DF_70_7_6_[4, 6]_0_6",70,7,6,4,0,6
"DF_70_7_6_[4, 6]_2_0",70,7,6,4,2,0
"DF_70_7_6_[4, 6]_2_2",70,7,6,4,2,2
"DF_70_7_6_[4, 6]_2_4",70,7,6,4,2,4
"DF_70_7_6_[4, 6]_2_6",70,7,6,4,2,6
"DF_70_7_6_[4, 6]_0_0",70,7,6,6,0,0
"DF_70_7_6_[4, 6]_0_2",70,7,6,6,0,2
"DF_70_7_6_[4, 6]_0_4",70,7,6,6,0,4
"DF_70_7_6_[4, 6]_0_6",70,7,6,6,0,6
"DF_70_7_6_[4, 6]_2_0",70,7,6,6,2,0
"DF_70_7_6_[4, 6]_2_2",70,7,6,6,2,2
"DF_70_7_6_[4, 6]_2_4",70,7,6,6,2,4
"DF_70_7_6_[4, 6]_2_6",70,7,6,6,2,6
"DF_70_8_2_[4, 6]_0_0",70,8,2,4,0,0
"DF_70_8_2_[4, 6]_0_2",70,8,2,4,0,2
"DF_70_8_2_[4, 6]_0_4",70,8,2,4,0,4
"DF_70_8_2_[4, 6]_0_6",70,8,2,4,0,6
"DF_70_8_2_[4, 6]_2_0",70,8,2,4,2,0
"DF_70_8_2_[4, 6]_2_2",70,8,2,4,2,2
"DF_70_8_2_[4, 6]_2_4",70,8,2,4,2,4
"DF_70_8_2_[4, 6]_2_6",70,8,2,4,2,6
"DF_70_8_2_[4, 6]_0_0",70,8,2,6,0,0
"DF_70_8_2_[4, 6]_0_2",70,8,2,6,0,2
"DF_70_8_2_[4, 6]_0_4",70,8,2,6,0,4
"DF_70_8_2_[4, 6]_0_6",70,8,2,6,0,6
"DF_70_8_2_[4, 6]_2_0",70,8,2,6,2,0
"DF_70_8_2_[4, 6]_2_2",70,8,2,6,2,2
"DF_70_8_2_[4, 6]_2_4",70,8,2,6,2,4
"DF_70_8_2_[4, 6]_2_6",70,8,2,6,2,6
"DF_70_8_4_[4, 6]_0_0",70,8,4,4,0,0
"DF_70_8_4_[4, 6]_0_2",70,8,4,4,0,2
"DF_70_8_4_[4, 6]_0_4",70,8,4,4,0,4
"DF_70_8_4_[4, 6]_0_6",70,8,4,4,0,6
"DF_70_8_4_[4, 6]_2_0",70,8,4,4,2,0
"DF_70_8_4_[4, 6]_2_2",70,8,4,4,2,2
"DF_70_8_4_[4, 6]_2_4",70,8,4,4,2,4
"DF_70_8_4_[4, 6]_2_6",70,8,4,4,2,6
"DF_70_8_4_[4, 6]_0_0",70,8,4,6,0,0
"DF_70_8_4_[4, 6]_0_2",70,8,4,6,0,2
"DF_70_8_4_[4, 6]_0_4",70,8,4,6,0,4
"DF_70_8_4_[4, 6]_0_6",70,8,4,6,0,6
"DF_70_8_4_[4, 6]_2_0",70,8,4,6,2,0
"DF_70_8_4_[4, 6]_2_2",70,8,4,6,2,2
"DF_70_8_4_[4, 6]_2_4",70,8,4,6,2,4
"DF_70_8_4_[4, 6]_2_6",70,8,4,6,2,6
"DF_70_8_6_[4, 6]_0_0",70,8,6,4,0,0
"DF_70_8_6_[4, 6]_0_2",70,8,6,4,0,2
"DF_70_8_6_[4, 6]_0_4",70,8,6,4,0,4
"DF_70_8_6_[4, 6]_0_6",70,8,6,4,0,6
"DF_70_8_6_[4, 6]_2_0",70,8,6,4,2,0
"DF_70_8_6_[4, 6]_2_2",70,8,6,4,2,2
"DF_70_8_6_[4, 6]_2_4",70,8,6,4,2,4
"DF_70_8_6_[4, 6]_2_6",70,8,6,4,2,6
"DF_70_8_6_[4, 6]_0_0",70,8,6,6,0,0
"DF_70_8_6_[4, 6]_0_2",70,8,6,6,0,2
"DF_70_8_6_[4, 6]_0_4",70,8,6,6,0,4
"DF_70_8_6_[4, 6]_0_6",70,8,6,6,0,6
"DF_70_8_6_[4, 6]_2_0",70,8,6,6,2,0
"DF_70_8_6_[4, 6]_2_2",70,8,6,6,2,2
"DF_70_8_6_[4, 6]_2_4",70,8,6,6,2,4
"DF_70_8_6_[4, 6]_2_6",70,8,6,6,2,6
"DF_70_9_2_[4, 6]_0_0",70,9,2,4,0,0
"DF_70_9_2_[4, 6]_0_2",70,9,2,4,0,2
"DF_70_9_2_[4, 6]_0_4",70,9,2,4,0,4
"DF_70_9_2_[4, 6]_0_6",70,9,2,4,0,6
"DF_70_9_2_[4, 6]_2_0",70,9,2,4,2,0
"DF_70_9_2_[4, 6]_2_2",70,9,2,4,2,2
"DF_70_9_2_[4, 6]_2_4",70,9,2,4,2,4
"DF_70_9_2_[4, 6]_2_6",70,9,2,4,2,6
"DF_70_9_2_[4, 6]_0_0",70,9,2,6,0,0
"DF_70_9_2_[4, 6]_0_2",70,9,2,6,0,2
"DF_70_9_2_[4, 6]_0_4",70,9,2,6,0,4
"DF_70_9_2_[4, 6]_0_6",70,9,2,6,0,6
"DF_70_9_2_[4, 6]_2_0",70,9,2,6,2,0
"DF_70_9_2_[4, 6]_2_2",70,9,2,6,2,2
"DF_70_9_2_[4, 6]_2_4",70,9,2,6,2,4
"DF_70_9_2_[4, 6]_2_6",70,9,2,6,2,6
"DF_70_9_4_[4, 6]_0_0",70,9,4,4,0,0
"DF_70_9_4_[4, 6]_0_2",70,9,4,4,0,2
"DF_70_9_4_[4, 6]_0_4",70,9,4,4,0,4
"DF_70_9_4_[4, 6]_0_6",70,9,4,4,0,6
"DF_70_9_4_[4, 6]_2_0",70,9,4,4,2,0
"DF_70_9_4_[4, 6]_2_2",70,9,4,4,2,2
"DF_70_9_4_[4, 6]_2_4",70,9,4,4,2,4
"DF_70_9_4_[4, 6]_2_6",70,9,4,4,2,6
"DF_70_9_4_[4, 6]_0_0",70,9,4,6,0,0
"DF_70_9_4_[4, 6]_0_2",70,9,4,6,0,2
"DF_70_9_4_[4, 6]_0_4",70,9,4,6,0,4
"DF_70_9_4_[4, 6]_0_6",70,9,4,6,0,6
"DF_70_9_4_[4, 6]_2_0",70,9,4,6,2,0
"DF_70_9_4_[4, 6]_2_2",70,9,4,6,2,2
"DF_70_9_4_[4, 6]_2_4",70,9,4,6,2,4
"DF_70_9_4_[4, 6]_2_6",70,9,4,6,2,6
"DF_70_9_6_[4, 6]_0_0",70,9,6,4,0,0
"DF_70_9_6_[4, 6]_0_2",70,9,6,4,0,2
"DF_70_9_6_[4, 6]_0_4",70,9,6,4,0,4
"DF_70_9_6_[4, 6]_0_6",70,9,6,4,0,6
"DF_70_9_6_[4, 6]_2_0",70,9,6,4,2,0
"DF_70_9_6_[4, 6]_2_2",70,9,6,4,2,2
"DF_70_9_6_[4, 6]_2_4",70,9,6,4,2,4
"DF_70_9_6_[4, 6]_2_6",70,9,6,4,2,6
"DF_70_9_6_[4, 6]_0_0",70,9,6,6,0,0
"DF_70_9_6_[4, 6]_0_2",70,9,6,6,0,2
"DF_70_9_6_[4, 6]_0_4",70,9,6,6,0,4
"DF_70_9_6_[4, 6]_0_6",70,9,6,6,0,6
"DF_70_9_6_[4, 6]_2_0",70,9,6,6,2,0
