model_Id,bldg_type,bldg_vintage,climate
model_SmallOffice_pre1980_2A,SmallOffice,pre1980,2A
model_SmallOffice_pre1980_2B,SmallOffice,pre1980,2B
model_SmallOffice_pre1980_3A,SmallOffice,pre1980,3A
model_SmallOffice_pre1980_3B,SmallOffice,pre1980,3B
model_SmallOffice_pre1980_4A,SmallOffice,pre1980,4A
model_SmallOffice_post1980_2A,SmallOffice,post1980,2A
model_SmallOffice_post1980_2B,SmallOffice,post1980,2B
model_SmallOffice_post1980_3A,SmallOffice,post1980,3A
model_SmallOffice_post1980_3B,SmallOffice,post1980,3B
model_SmallOffice_post1980_4A,SmallOffice,post1980,4A
model_SmallOffice_2004_2A,SmallOffice,2004,2A
model_SmallOffice_2004_2B,SmallOffice,2004,2B
model_SmallOffice_2004_3A,SmallOffice,2004,3A
model_SmallOffice_2004_3B,SmallOffice,2004,3B
model_SmallOffice_2004_4A,SmallOffice,2004,4A
model_SmallOffice_2010_2A,SmallOffice,2010,2A
model_SmallOffice_2010_2B,SmallOffice,2010,2B
model_SmallOffice_2010_3A,SmallOffice,2010,3A
model_SmallOffice_2010_3B,SmallOffice,2010,3B
model_SmallOffice_2010_4A,SmallOffice,2010,4A
model_SmallOffice_2016_2A,SmallOffice,2016,2A
model_SmallOffice_2016_2B,SmallOffice,2016,2B
model_SmallOffice_2016_3A,SmallOffice,2016,3A
model_SmallOffice_2016_3B,SmallOffice,2016,3B
model_SmallOffice_2016_4A,SmallOffice,2016,4A
model_MediumOffice_pre1980_2A,MediumOffice,pre1980,2A
model_MediumOffice_pre1980_2B,MediumOffice,pre1980,2B
model_MediumOffice_pre1980_3A,MediumOffice,pre1980,3A
model_MediumOffice_pre1980_3B,MediumOffice,pre1980,3B
model_MediumOffice_pre1980_4A,MediumOffice,pre1980,4A
model_MediumOffice_post1980_2A,MediumOffice,post1980,2A
model_MediumOffice_post1980_2B,MediumOffice,post1980,2B
model_MediumOffice_post1980_3A,MediumOffice,post1980,3A
model_MediumOffice_post1980_3B,MediumOffice,post1980,3B
model_MediumOffice_post1980_4A,MediumOffice,post1980,4A
model_MediumOffice_2004_2A,MediumOffice,2004,2A
model_MediumOffice_2004_2B,MediumOffice,2004,2B
model_MediumOffice_2004_3A,MediumOffice,2004,3A
model_MediumOffice_2004_3B,MediumOffice,2004,3B
model_MediumOffice_2004_4A,MediumOffice,2004,4A
model_MediumOffice_2010_2A,MediumOffice,2010,2A
model_MediumOffice_2010_2B,MediumOffice,2010,2B
model_MediumOffice_2010_3A,MediumOffice,2010,3A
model_MediumOffice_2010_3B,MediumOffice,2010,3B
model_MediumOffice_2010_4A,MediumOffice,2010,4A
model_MediumOffice_2016_2A,MediumOffice,2016,2A
model_MediumOffice_2016_2B,MediumOffice,2016,2B
model_MediumOffice_2016_3A,MediumOffice,2016,3A
model_MediumOffice_2016_3B,MediumOffice,2016,3B
model_MediumOffice_2016_4A,MediumOffice,2016,4A
model_LargeOffice_pre1980_2A,LargeOffice,pre1980,2A
model_LargeOffice_pre1980_2B,LargeOffice,pre1980,2B
model_LargeOffice_pre1980_3A,LargeOffice,pre1980,3A
model_LargeOffice_pre1980_3B,LargeOffice,pre1980,3B
model_LargeOffice_pre1980_4A,LargeOffice,pre1980,4A
model_LargeOffice_post1980_2A,LargeOffice,post1980,2A
model_LargeOffice_post1980_2B,LargeOffice,post1980,2B
model_LargeOffice_post1980_3A,LargeOffice,post1980,3A
model_LargeOffice_post1980_3B,LargeOffice,post1980,3B
model_LargeOffice_post1980_4A,LargeOffice,post1980,4A
model_LargeOffice_2004_2A,LargeOffice,2004,2A
model_LargeOffice_2004_2B,LargeOffice,2004,2B
model_LargeOffice_2004_3A,LargeOffice,2004,3A
model_LargeOffice_2004_3B,LargeOffice,2004,3B
model_LargeOffice_2004_4A,LargeOffice,2004,4A
model_LargeOffice_2010_2A,LargeOffice,2010,2A
model_LargeOffice_2010_2B,LargeOffice,2010,2B
